Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.8444444444444444, 'recall': 0.026188835286009647, 'f1-score': 0.05080213903743315, 'support': 1451}, '1': {'precision': 0.581457345971564, 'recall': 0.9964467005076142, 'f1-score': 0.7343808454919566, 'support': 1970}, 'accuracy': 0.5849166910260157, 'macro avg': {'precision': 0.7129508952080041, 'recall': 0.5113177678968119, 'f1-score': 0.39259149226469486, 'support': 3421}, 'weighted avg': {'precision': 0.6930020053939988, 'recall': 0.5849166910260157, 'f1-score': 0.4444443640346303, 'support': 3421}};{'-1': {'precision': 0.7727272727272727, 'recall': 0.035196687370600416, 'f1-score': 0.06732673267326733, 'support': 1449}, '1': {'precision': 0.5815624064651302, 'recall': 0.9923391215526047, 'f1-score': 0.7333459143234573, 'support': 1958}, 'accuracy': 0.5852656295861461, 'macro avg': {'precision': 0.6771448395962014, 'recall': 0.5137679044616026, 'f1-score': 0.40033632349836235, 'support': 3407}, 'weighted avg': {'precision': 0.6628649868037991, 'recall': 0.5852656295861461, 'f1-score': 0.4500873894596107, 'support': 3407}};{'-1': {'precision': 0.6774193548387096, 'recall': 0.01440329218106996, 'f1-score': 0.028206850235057083, 'support': 1458}, '1': {'precision': 0.5767304860088365, 'recall': 0.9949186991869918, 'f1-score': 0.7301883274286779, 'support': 1968}, 'accuracy': 0.5776415645067133, 'macro avg': {'precision': 0.6270749204237731, 'recall': 0.5046609956840309, 'f1-score': 0.3791975888318675, 'support': 3426}, 'weighted avg': {'precision': 0.619580565038012, 'recall': 0.5776415645067133, 'f1-score': 0.43144664799251353, 'support': 3426}};{'-1': {'precision': 0.7959183673469388, 'recall': 0.05379310344827586, 'f1-score': 0.10077519379844962, 'support': 1450}, '1': {'precision': 0.5881116781747223, 'recall': 0.9898938858009095, 'f1-score': 0.7378531073446328, 'support': 1979}, 'accuracy': 0.5940507436570429, 'macro avg': {'precision': 0.6920150227608306, 'recall': 0.5218434946245927, 'f1-score': 0.4193141505715412, 'support': 3429}, 'weighted avg': {'precision': 0.6759856062294655, 'recall': 0.5940507436570429, 'f1-score': 0.4684559143898455, 'support': 3429}};{'-1': {'precision': 0.8426966292134831, 'recall': 0.05088195386702849, 'f1-score': 0.09596928982725526, 'support': 1474}, '1': {'precision': 0.5843731431966727, 'recall': 0.9929328621908127, 'f1-score': 0.7357396671030485, 'support': 1981}, 'accuracy': 0.591027496382055, 'macro avg': {'precision': 0.7135348862050779, 'recall': 0.5219074080289205, 'f1-score': 0.4158544784651519, 'support': 3455}, 'weighted avg': {'precision': 0.6945811948287359, 'recall': 0.591027496382055, 'f1-score': 0.4627956624418273, 'support': 3455}}
OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.7641509433962265, 'recall': 0.055823569951757405, 'f1-score': 0.10404624277456648, 'support': 1451}, '1': {'precision': 0.5867269984917044, 'recall': 0.9873096446700508, 'f1-score': 0.7360454115421002, 'support': 1970}, 'accuracy': 0.5922244957614733, 'macro avg': {'precision': 0.6754389709439654, 'recall': 0.5215666073109041, 'f1-score': 0.4200458271583334, 'support': 3421}, 'weighted avg': {'precision': 0.6619804752693897, 'recall': 0.5922244957614733, 'f1-score': 0.46798613241854237, 'support': 3421}};{'-1': {'precision': 0.8114754098360656, 'recall': 0.06832298136645963, 'f1-score': 0.12603437301082113, 'support': 1449}, '1': {'precision': 0.589041095890411, 'recall': 0.9882533197139939, 'f1-score': 0.7381270265115393, 'support': 1958}, 'accuracy': 0.597006163780452, 'macro avg': {'precision': 0.7002582528632383, 'recall': 0.5282881505402267, 'f1-score': 0.4320806997611802, 'support': 3407}, 'weighted avg': {'precision': 0.683642598945079, 'recall': 0.597006163780452, 'f1-score': 0.47780349997131605, 'support': 3407}};{'-1': {'precision': 0.6829268292682927, 'recall': 0.05761316872427984, 'f1-score': 0.10626185958254271, 'support': 1458}, '1': {'precision': 0.584014532243415, 'recall': 0.9801829268292683, 'f1-score': 0.7319294251565168, 'support': 1968}, 'accuracy': 0.5875656742556917, 'macro avg': {'precision': 0.6334706807558539, 'recall': 0.5188980477767741, 'f1-score': 0.4190956423695298, 'support': 3426}, 'weighted avg': {'precision': 0.6261085570718655, 'recall': 0.5875656742556917, 'f1-score': 0.4656645942730217, 'support': 3426}};{'-1': {'precision': 0.7737226277372263, 'recall': 0.07310344827586207, 'f1-score': 0.13358538122243227, 'support': 1450}, '1': {'precision': 0.5917375455650061, 'recall': 0.9843355229914098, 'f1-score': 0.7391386833617909, 'support': 1979}, 'accuracy': 0.5990084572761738, 'macro avg': {'precision': 0.6827300866511162, 'recall': 0.5287194856336359, 'f1-score': 0.43636203229211157, 'support': 3429}, 'weighted avg': {'precision': 0.6686924505372194, 'recall': 0.5990084572761738, 'f1-score': 0.4830721076539839, 'support': 3429}};{'-1': {'precision': 0.83, 'recall': 0.056309362279511534, 'f1-score': 0.10546378653113088, 'support': 1474}, '1': {'precision': 0.5853949329359165, 'recall': 0.9914184755174155, 'f1-score': 0.7361319340329835, 'support': 1981}, 'accuracy': 0.5924746743849494, 'macro avg': {'precision': 0.7076974664679583, 'recall': 0.5238639188984635, 'f1-score': 0.4207978602820572, 'support': 3455}, 'weighted avg': {'precision': 0.68975032189466, 'recall': 0.5924746743849494, 'f1-score': 0.46707119614073145, 'support': 3455}}
OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.7247706422018348, 'recall': 0.05444521019986216, 'f1-score': 0.10128205128205128, 'support': 1451}, '1': {'precision': 0.5857487922705314, 'recall': 0.9847715736040609, 'f1-score': 0.7345702385460053, 'support': 1970}, 'accuracy': 0.5901783104355451, 'macro avg': {'precision': 0.6552597172361831, 'recall': 0.5196083919019615, 'f1-score': 0.4179261449140283, 'support': 3421}, 'weighted avg': {'precision': 0.644714212980944, 'recall': 0.5901783104355451, 'f1-score': 0.4659642286892391, 'support': 3421}};{'-1': {'precision': 0.7602739726027398, 'recall': 0.07660455486542443, 'f1-score': 0.13918495297805644, 'support': 1449}, '1': {'precision': 0.5896964121435143, 'recall': 0.9821246169560777, 'f1-score': 0.7369227821421729, 'support': 1958}, 'accuracy': 0.597006163780452, 'macro avg': {'precision': 0.674985192373127, 'recall': 0.5293645859107511, 'f1-score': 0.43805386756011466, 'support': 3407}, 'weighted avg': {'precision': 0.6622431938005198, 'recall': 0.597006163780452, 'f1-score': 0.48270437461097104, 'support': 3407}};{'-1': {'precision': 0.7027027027027027, 'recall': 0.07133058984910837, 'f1-score': 0.12951432129514323, 'support': 1458}, '1': {'precision': 0.5869432580841977, 'recall': 0.9776422764227642, 'f1-score': 0.7335112466641251, 'support': 1968}, 'accuracy': 0.5919439579684763, 'macro avg': {'precision': 0.6448229803934502, 'recall': 0.5244864331359363, 'f1-score': 0.4315127839796342, 'support': 3426}, 'weighted avg': {'precision': 0.636206909646889, 'recall': 0.5919439579684763, 'f1-score': 0.47646877229518886, 'support': 3426}};{'-1': {'precision': 0.7359550561797753, 'recall': 0.09034482758620689, 'f1-score': 0.16093366093366093, 'support': 1450}, '1': {'precision': 0.5942786834820055, 'recall': 0.9762506316321374, 'f1-score': 0.7388145315487572, 'support': 1979}, 'accuracy': 0.6016331291921843, 'macro avg': {'precision': 0.6651168698308905, 'recall': 0.5332977296091722, 'f1-score': 0.44987409624120905, 'support': 3429}, 'weighted avg': {'precision': 0.6541884940424505, 'recall': 0.6016331291921843, 'f1-score': 0.4944496256310291, 'support': 3429}};{'-1': {'precision': 0.8211920529801324, 'recall': 0.08412483039348712, 'f1-score': 0.1526153846153846, 'support': 1474}, '1': {'precision': 0.5914043583535109, 'recall': 0.9863705199394245, 'f1-score': 0.7394512771996214, 'support': 1981}, 'accuracy': 0.6014471780028944, 'macro avg': {'precision': 0.7062982056668217, 'recall': 0.5352476751664558, 'f1-score': 0.446033330907503, 'support': 3455}, 'weighted avg': {'precision': 0.6894382402289494, 'recall': 0.6014471780028944, 'f1-score': 0.48909060985688185, 'support': 3455}}
OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.5436507936507936, 'recall': 0.09441764300482426, 'f1-score': 0.1608925425719319, 'support': 1451}, '1': {'precision': 0.585358157147365, 'recall': 0.9416243654822335, 'f1-score': 0.7219303366413699, 'support': 1970}, 'accuracy': 0.5822858813212511, 'macro avg': {'precision': 0.5645044753990793, 'recall': 0.5180210042435289, 'f1-score': 0.44141143960665086, 'support': 3421}, 'weighted avg': {'precision': 0.5676681880057325, 'recall': 0.5822858813212511, 'f1-score': 0.48396896885570645, 'support': 3421}};{'-1': {'precision': 0.5986622073578596, 'recall': 0.12353347135955832, 'f1-score': 0.2048054919908467, 'support': 1449}, '1': {'precision': 0.5913770913770914, 'recall': 0.9387129724208376, 'f1-score': 0.7256217923410975, 'support': 1958}, 'accuracy': 0.5920164367478721, 'macro avg': {'precision': 0.5950196493674755, 'recall': 0.531123221890198, 'f1-score': 0.46521364216597205, 'support': 3407}, 'weighted avg': {'precision': 0.5944754574047207, 'recall': 0.5920164367478721, 'f1-score': 0.504118176489171, 'support': 3407}};{'-1': {'precision': 0.5734265734265734, 'recall': 0.11248285322359397, 'f1-score': 0.18807339449541285, 'support': 1458}, '1': {'precision': 0.5878980891719745, 'recall': 0.9380081300813008, 'f1-score': 0.7227877838684417, 'support': 1968}, 'accuracy': 0.5866900175131349, 'macro avg': {'precision': 0.580662331299274, 'recall': 0.5252454916524474, 'f1-score': 0.45543058918192725, 'support': 3426}, 'weighted avg': {'precision': 0.5817394581279597, 'recall': 0.5866900175131349, 'f1-score': 0.49522982131564663, 'support': 3426}};{'-1': {'precision': 0.643312101910828, 'recall': 0.1393103448275862, 'f1-score': 0.22902494331065756, 'support': 1450}, '1': {'precision': 0.5993579454253611, 'recall': 0.9434057604850935, 'f1-score': 0.7330192383195917, 'support': 1979}, 'accuracy': 0.6033829104695246, 'macro avg': {'precision': 0.6213350236680946, 'recall': 0.5413580526563398, 'f1-score': 0.48102209081512465, 'support': 3429}, 'weighted avg': {'precision': 0.6179445674445874, 'recall': 0.6033829104695246, 'f1-score': 0.5198982911737898, 'support': 3429}};{'-1': {'precision': 0.6973293768545994, 'recall': 0.15943012211668928, 'f1-score': 0.25952512424075097, 'support': 1474}, '1': {'precision': 0.6026298909557408, 'recall': 0.9485108531044927, 'f1-score': 0.7370072563247695, 'support': 1981}, 'accuracy': 0.6118668596237338, 'macro avg': {'precision': 0.6499796339051701, 'recall': 0.553970487610591, 'f1-score': 0.4982661902827602, 'support': 3455}, 'weighted avg': {'precision': 0.6430313503522437, 'recall': 0.6118668596237338, 'f1-score': 0.5332999733459437, 'support': 3455}}
OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.48081264108352145, 'recall': 0.14679531357684356, 'f1-score': 0.2249208025343189, 'support': 1451}, '1': {'precision': 0.5842847548690396, 'recall': 0.883248730964467, 'f1-score': 0.7033144704931286, 'support': 1970}, 'accuracy': 0.5708857059339374, 'macro avg': {'precision': 0.5325486979762806, 'recall': 0.5150220222706553, 'f1-score': 0.46411763651372373, 'support': 3421}, 'weighted avg': {'precision': 0.5403975765285582, 'recall': 0.5708857059339374, 'f1-score': 0.5004061944895527, 'support': 3421}};{'-1': {'precision': 0.5386363636363637, 'recall': 0.16356107660455488, 'f1-score': 0.250926416093171, 'support': 1449}, '1': {'precision': 0.5915065722952477, 'recall': 0.8963227783452502, 'f1-score': 0.7126903553299493, 'support': 1958}, 'accuracy': 0.5846786028764309, 'macro avg': {'precision': 0.5650714679658058, 'recall': 0.5299419274749025, 'f1-score': 0.48180838571156015, 'support': 3407}, 'weighted avg': {'precision': 0.5690208275500986, 'recall': 0.5846786028764309, 'f1-score': 0.516301758924287, 'support': 3407}};{'-1': {'precision': 0.5011600928074246, 'recall': 0.14814814814814814, 'f1-score': 0.22869242985706723, 'support': 1458}, '1': {'precision': 0.5853088480801335, 'recall': 0.8907520325203252, 'f1-score': 0.7064275639734031, 'support': 1968}, 'accuracy': 0.5747227086981903, 'macro avg': {'precision': 0.543234470443779, 'recall': 0.5194500903342367, 'f1-score': 0.4675599969152352, 'support': 3426}, 'weighted avg': {'precision': 0.5494977315630262, 'recall': 0.5747227086981903, 'f1-score': 0.503118216179586, 'support': 3426}};{'-1': {'precision': 0.5526315789473685, 'recall': 0.17379310344827587, 'f1-score': 0.2644281217208814, 'support': 1450}, '1': {'precision': 0.5970400269088463, 'recall': 0.8969176351692774, 'f1-score': 0.7168820678513732, 'support': 1979}, 'accuracy': 0.5911344415281423, 'macro avg': {'precision': 0.5748358029281073, 'recall': 0.5353553693087766, 'f1-score': 0.49065509478612734, 'support': 3429}, 'weighted avg': {'precision': 0.5782613014658183, 'recall': 0.5911344415281423, 'f1-score': 0.5255556689335508, 'support': 3429}};{'-1': {'precision': 0.6091081593927894, 'recall': 0.21777476255088196, 'f1-score': 0.32083958020989506, 'support': 1474}, '1': {'precision': 0.6062158469945356, 'recall': 0.8960121150933872, 'f1-score': 0.7231615400285192, 'support': 1981}, 'accuracy': 0.606657018813314, 'macro avg': {'precision': 0.6076620031936625, 'recall': 0.5568934388221346, 'f1-score': 0.5220005601192071, 'support': 3455}, 'weighted avg': {'precision': 0.6074497886660338, 'recall': 0.606657018813314, 'f1-score': 0.5515196966789817, 'support': 3455}}
OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.4415041782729805, 'recall': 0.21847002067539628, 'f1-score': 0.2923005993545413, 'support': 1451}, '1': {'precision': 0.5804661487236404, 'recall': 0.7964467005076142, 'f1-score': 0.6715172266210144, 'support': 1970}, 'accuracy': 0.5513007892429115, 'macro avg': {'precision': 0.5109851634983105, 'recall': 0.5074583605915053, 'f1-score': 0.4819089129877778, 'support': 3421}, 'weighted avg': {'precision': 0.5215261255947578, 'recall': 0.5513007892429115, 'f1-score': 0.5106743952373101, 'support': 3421}};{'-1': {'precision': 0.46831955922865015, 'recall': 0.23464458247066944, 'f1-score': 0.3126436781609196, 'support': 1449}, '1': {'precision': 0.5863483774710929, 'recall': 0.8028600612870276, 'f1-score': 0.6777322698857512, 'support': 1958}, 'accuracy': 0.5611975344878192, 'macro avg': {'precision': 0.5273339683498716, 'recall': 0.5187523218788486, 'f1-score': 0.49518797402333536, 'support': 3407}, 'weighted avg': {'precision': 0.5361506206077822, 'recall': 0.5611975344878192, 'f1-score': 0.5224597810658859, 'support': 3407}};{'-1': {'precision': 0.42242503259452413, 'recall': 0.2222222222222222, 'f1-score': 0.2912359550561798, 'support': 1458}, '1': {'precision': 0.5735238811583302, 'recall': 0.7748983739837398, 'f1-score': 0.6591744110654852, 'support': 1968}, 'accuracy': 0.5396964389959136, 'macro avg': {'precision': 0.49797445687642716, 'recall': 0.498560298102981, 'f1-score': 0.4752051830608325, 'support': 3426}, 'weighted avg': {'precision': 0.5092208685471132, 'recall': 0.5396964389959136, 'f1-score': 0.5025911451981275, 'support': 3426}};{'-1': {'precision': 0.4883720930232558, 'recall': 0.26068965517241377, 'f1-score': 0.3399280575539568, 'support': 1450}, '1': {'precision': 0.5962335216572505, 'recall': 0.7998989388580091, 'f1-score': 0.6832110487699612, 'support': 1979}, 'accuracy': 0.5718868474773987, 'macro avg': {'precision': 0.5423028073402532, 'recall': 0.5302942970152115, 'f1-score': 0.511569553161959, 'support': 3429}, 'weighted avg': {'precision': 0.5506228271342722, 'recall': 0.5718868474773987, 'f1-score': 0.5380490956456665, 'support': 3429}};{'-1': {'precision': 0.5166858457997698, 'recall': 0.3046132971506106, 'f1-score': 0.3832693128467776, 'support': 1474}, '1': {'precision': 0.6036349574632637, 'recall': 0.7879858657243817, 'f1-score': 0.6835997372454565, 'support': 1981}, 'accuracy': 0.5817655571635311, 'macro avg': {'precision': 0.5601604016315167, 'recall': 0.5462995814374961, 'f1-score': 0.5334345250461171, 'support': 3455}, 'weighted avg': {'precision': 0.5665400253092868, 'recall': 0.5817655571635311, 'f1-score': 0.5554703463442546, 'support': 3455}}
OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.43853211009174314, 'recall': 0.3294279807029635, 'f1-score': 0.3762298307752853, 'support': 1451}, '1': {'precision': 0.5825825825825826, 'recall': 0.6893401015228426, 'f1-score': 0.631481050918391, 'support': 1970}, 'accuracy': 0.5366851797719965, 'macro avg': {'precision': 0.5105573463371629, 'recall': 0.509384041112903, 'f1-score': 0.5038554408468382, 'support': 3421}, 'weighted avg': {'precision': 0.5214842968228024, 'recall': 0.5366851797719965, 'f1-score': 0.5232175255083804, 'support': 3421}};{'-1': {'precision': 0.44033302497687327, 'recall': 0.3285024154589372, 'f1-score': 0.3762845849802372, 'support': 1449}, '1': {'precision': 0.5816852966466036, 'recall': 0.6910112359550562, 'f1-score': 0.6316526610644257, 'support': 1958}, 'accuracy': 0.5368359260346346, 'macro avg': {'precision': 0.5110091608117384, 'recall': 0.5097568257069967, 'f1-score': 0.5039686230223315, 'support': 3407}, 'weighted avg': {'precision': 0.5215680551880069, 'recall': 0.5368359260346346, 'f1-score': 0.5230444009393923, 'support': 3407}};{'-1': {'precision': 0.41509433962264153, 'recall': 0.3168724279835391, 'f1-score': 0.3593932322053675, 'support': 1458}, '1': {'precision': 0.569390402075227, 'recall': 0.6692073170731707, 'f1-score': 0.6152768044849334, 'support': 1968}, 'accuracy': 0.5192644483362522, 'macro avg': {'precision': 0.49224237084893424, 'recall': 0.4930398725283549, 'f1-score': 0.4873350183451505, 'support': 3426}, 'weighted avg': {'precision': 0.5037267537810444, 'recall': 0.5192644483362522, 'f1-score': 0.5063806432521234, 'support': 3426}};{'-1': {'precision': 0.44972577696526506, 'recall': 0.3393103448275862, 'f1-score': 0.3867924528301887, 'support': 1450}, '1': {'precision': 0.5897216274089936, 'recall': 0.6958059626073775, 'f1-score': 0.6383866481223922, 'support': 1979}, 'accuracy': 0.5450568678915135, 'macro avg': {'precision': 0.5197237021871293, 'recall': 0.5175581537174818, 'f1-score': 0.5125895504762905, 'support': 3429}, 'weighted avg': {'precision': 0.5305224488894816, 'recall': 0.5450568678915135, 'f1-score': 0.5319965684566894, 'support': 3429}};{'-1': {'precision': 0.47763713080168774, 'recall': 0.383989145183175, 'f1-score': 0.42572395637457683, 'support': 1474}, '1': {'precision': 0.6, 'recall': 0.6875315497223624, 'f1-score': 0.6407904022582922, 'support': 1981}, 'accuracy': 0.5580318379160637, 'macro avg': {'precision': 0.5388185654008438, 'recall': 0.5357603474527687, 'f1-score': 0.5332571793164345, 'support': 3455}, 'weighted avg': {'precision': 0.5477965646314581, 'recall': 0.5580318379160637, 'f1-score': 0.5490370183993641, 'support': 3455}}
OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.4422554347826087, 'recall': 0.44865609924190214, 'f1-score': 0.44543277454669855, 'support': 1451}, '1': {'precision': 0.5895330938943047, 'recall': 0.583248730964467, 'f1-score': 0.5863740750191375, 'support': 1970}, 'accuracy': 0.5261619409529378, 'macro avg': {'precision': 0.5158942643384568, 'recall': 0.5159524151031846, 'f1-score': 0.5159034247829181, 'support': 3421}, 'weighted avg': {'precision': 0.5270660131076719, 'recall': 0.5261619409529378, 'f1-score': 0.5265945289842036, 'support': 3421}};{'-1': {'precision': 0.43912448700410395, 'recall': 0.44306418219461696, 'f1-score': 0.44108553761593955, 'support': 1449}, '1': {'precision': 0.5850899742930591, 'recall': 0.5812053115423902, 'f1-score': 0.5831411734563157, 'support': 1958}, 'accuracy': 0.5224537716466099, 'macro avg': {'precision': 0.5121072306485815, 'recall': 0.5121347468685036, 'f1-score': 0.5121133555361276, 'support': 3407}, 'weighted avg': {'precision': 0.5230107283048888, 'recall': 0.5224537716466099, 'f1-score': 0.5227247906172475, 'support': 3407}};{'-1': {'precision': 0.4159891598915989, 'recall': 0.42112482853223593, 'f1-score': 0.4185412406271302, 'support': 1458}, '1': {'precision': 0.5671794871794872, 'recall': 0.5619918699186992, 'f1-score': 0.5645737621235324, 'support': 1968}, 'accuracy': 0.5020431990659662, 'macro avg': {'precision': 0.49158432353554304, 'recall': 0.4915583492254676, 'f1-score': 0.4915575013753313, 'support': 3426}, 'weighted avg': {'precision': 0.5028375440429603, 'recall': 0.5020431990659662, 'f1-score': 0.5024268221522088, 'support': 3426}};{'-1': {'precision': 0.44523470839260315, 'recall': 0.4317241379310345, 'f1-score': 0.438375350140056, 'support': 1450}, '1': {'precision': 0.59268413247652, 'recall': 0.6058615462354725, 'f1-score': 0.5992003998000999, 'support': 1979}, 'accuracy': 0.5322251385243512, 'macro avg': {'precision': 0.5189594204345616, 'recall': 0.5187928420832535, 'f1-score': 0.518787874970078, 'support': 3429}, 'weighted avg': {'precision': 0.5303331074191623, 'recall': 0.5322251385243512, 'f1-score': 0.5311933067680019, 'support': 3429}};{'-1': {'precision': 0.4623015873015873, 'recall': 0.47421981004070557, 'f1-score': 0.4681848626925653, 'support': 1474}, '1': {'precision': 0.6011322696860525, 'recall': 0.5896012115093388, 'f1-score': 0.5953109072375127, 'support': 1981}, 'accuracy': 0.5403762662807525, 'macro avg': {'precision': 0.5317169284938199, 'recall': 0.5319105107750222, 'f1-score': 0.531747884965039, 'support': 3455}, 'weighted avg': {'precision': 0.541903202874272, 'recall': 0.5403762662807525, 'f1-score': 0.5410753675387421, 'support': 3455}}
OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.43973214285714285, 'recall': 0.5430737422467264, 'f1-score': 0.48596978106691335, 'support': 1451}, '1': {'precision': 0.5930018416206262, 'recall': 0.4903553299492386, 'f1-score': 0.5368157821617116, 'support': 1970}, 'accuracy': 0.512715580239696, 'macro avg': {'precision': 0.5163669922388845, 'recall': 0.5167145360979826, 'f1-score': 0.5113927816143125, 'support': 3421}, 'weighted avg': {'precision': 0.5279932672547055, 'recall': 0.512715580239696, 'f1-score': 0.5152497056961891, 'support': 3421}};{'-1': {'precision': 0.4297612437534703, 'recall': 0.5341614906832298, 'f1-score': 0.4763076923076923, 'support': 1449}, '1': {'precision': 0.5797011207970112, 'recall': 0.475485188968335, 'f1-score': 0.5224466891133558, 'support': 1958}, 'accuracy': 0.5004402700322864, 'macro avg': {'precision': 0.5047311822752407, 'recall': 0.5048233398257824, 'f1-score': 0.49937719071052405, 'support': 3407}, 'weighted avg': {'precision': 0.5159315634632597, 'recall': 0.5004402700322864, 'f1-score': 0.502823734498913, 'support': 3407}};{'-1': {'precision': 0.415041782729805, 'recall': 0.5109739368998628, 'f1-score': 0.4580387334767906, 'support': 1458}, '1': {'precision': 0.562844880441447, 'recall': 0.46646341463414637, 'f1-score': 0.5101417060294526, 'support': 1968}, 'accuracy': 0.4854057209573847, 'macro avg': {'precision': 0.488943331585626, 'recall': 0.48871867576700456, 'f1-score': 0.4840902197531216, 'support': 3426}, 'weighted avg': {'precision': 0.49994443780759584, 'recall': 0.4854057209573847, 'f1-score': 0.4879682868870763, 'support': 3426}};{'-1': {'precision': 0.43966480446927375, 'recall': 0.5427586206896552, 'f1-score': 0.48580246913580244, 'support': 1450}, '1': {'precision': 0.5954850518608907, 'recall': 0.49317837291561395, 'f1-score': 0.5395245992260919, 'support': 1979}, 'accuracy': 0.5141440653251677, 'macro avg': {'precision': 0.5175749281650822, 'recall': 0.5179684968026346, 'f1-score': 0.5126635341809471, 'support': 3429}, 'weighted avg': {'precision': 0.5295943085777631, 'recall': 0.5141440653251677, 'f1-score': 0.5168074546851412, 'support': 3429}};{'-1': {'precision': 0.4406417112299465, 'recall': 0.5590230664857531, 'f1-score': 0.49282296650717705, 'support': 1474}, '1': {'precision': 0.5899053627760252, 'recall': 0.4719838465421504, 'f1-score': 0.524397083567022, 'support': 1981}, 'accuracy': 0.5091172214182345, 'macro avg': {'precision': 0.5152735370029858, 'recall': 0.5155034565139518, 'f1-score': 0.5086100250370995, 'support': 3455}, 'weighted avg': {'precision': 0.5262252984116489, 'recall': 0.5091172214182345, 'f1-score': 0.5109266787779593, 'support': 3455}}
OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.4391859914813062, 'recall': 0.6395589248793935, 'f1-score': 0.5207631874298541, 'support': 1451}, '1': {'precision': 0.6001529051987767, 'recall': 0.39847715736040606, 'f1-score': 0.47895057962172055, 'support': 1970}, 'accuracy': 0.5007307804735458, 'macro avg': {'precision': 0.5196694483400415, 'recall': 0.5190180411198998, 'f1-score': 0.4998568835257873, 'support': 3421}, 'weighted avg': {'precision': 0.5318795956974468, 'recall': 0.5007307804735458, 'f1-score': 0.4966851876104963, 'support': 3421}};{'-1': {'precision': 0.42857142857142855, 'recall': 0.6314699792960663, 'f1-score': 0.5106026785714285, 'support': 1449}, '1': {'precision': 0.5801886792452831, 'recall': 0.3769152196118488, 'f1-score': 0.4569659442724458, 'support': 1958}, 'accuracy': 0.4851775755796889, 'macro avg': {'precision': 0.5043800539083558, 'recall': 0.5041925994539576, 'f1-score': 0.4837843114219371, 'support': 3407}, 'weighted avg': {'precision': 0.5157057334787978, 'recall': 0.4851775755796889, 'f1-score': 0.47977769302478684, 'support': 3407}};{'-1': {'precision': 0.41918714555765596, 'recall': 0.6083676268861454, 'f1-score': 0.49636261891438166, 'support': 1458}, '1': {'precision': 0.5641221374045802, 'recall': 0.3755081300813008, 'f1-score': 0.45088468578401464, 'support': 1968}, 'accuracy': 0.4746059544658494, 'macro avg': {'precision': 0.49165464148111804, 'recall': 0.4919378784837231, 'f1-score': 0.4736236523491981, 'support': 3426}, 'weighted avg': {'precision': 0.5024422722227894, 'recall': 0.4746059544658494, 'f1-score': 0.47023869235262966, 'support': 3426}};{'-1': {'precision': 0.42830099384761006, 'recall': 0.6241379310344828, 'f1-score': 0.5079988773505474, 'support': 1450}, '1': {'precision': 0.5858662613981763, 'recall': 0.3895907023749368, 'f1-score': 0.4679817905918057, 'support': 1979}, 'accuracy': 0.4887722368037329, 'macro avg': {'precision': 0.5070836276228932, 'recall': 0.5068643167047098, 'f1-score': 0.4879903339711765, 'support': 3429}, 'weighted avg': {'precision': 0.5192376122443936, 'recall': 0.4887722368037329, 'f1-score': 0.4849035683113086, 'support': 3429}};{'-1': {'precision': 0.43862899490504864, 'recall': 0.6424694708276798, 'f1-score': 0.5213322323148912, 'support': 1474}, '1': {'precision': 0.5933641975308642, 'recall': 0.38818778394750125, 'f1-score': 0.46933170582850164, 'support': 1981}, 'accuracy': 0.496671490593343, 'macro avg': {'precision': 0.5159965962179565, 'recall': 0.5153286273875906, 'f1-score': 0.4953319690716964, 'support': 3455}, 'weighted avg': {'precision': 0.52734981586069, 'recall': 0.496671490593343, 'f1-score': 0.49151659035554596, 'support': 3455}}
