Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.23333333333333334, 'recall': 0.024121295658166782, 'f1-score': 0.04372267332916927, 'support': 1451}, '1': {'precision': 0.5671048608988077, 'recall': 0.9416243654822335, 'f1-score': 0.7078801755390193, 'support': 1970}, 'accuracy': 0.5524700380005846, 'macro avg': {'precision': 0.4002190971160705, 'recall': 0.48287283057020014, 'f1-score': 0.37580142443409426, 'support': 3421}, 'weighted avg': {'precision': 0.4255373407299965, 'recall': 0.5524700380005846, 'f1-score': 0.42618110050058244, 'support': 3421}};{'-1': {'precision': 0.44473007712082263, 'recall': 0.3581780538302277, 'f1-score': 0.396788990825688, 'support': 1449}, '1': {'precision': 0.5848214285714286, 'recall': 0.669050051072523, 'f1-score': 0.6241067174845165, 'support': 1958}, 'accuracy': 0.5368359260346346, 'macro avg': {'precision': 0.5147757528461256, 'recall': 0.5136140524513754, 'f1-score': 0.5104478541551023, 'support': 3407}, 'weighted avg': {'precision': 0.5252404575553065, 'recall': 0.5368359260346346, 'f1-score': 0.52742829484623, 'support': 3407}};{'-1': {'precision': 0.4589861751152074, 'recall': 0.34156378600823045, 'f1-score': 0.391663389697208, 'support': 1458}, '1': {'precision': 0.5899188381033746, 'recall': 0.7017276422764228, 'f1-score': 0.6409839870039453, 'support': 1968}, 'accuracy': 0.5484530064214828, 'macro avg': {'precision': 0.524452506609291, 'recall': 0.5216457141423266, 'f1-score': 0.5163236883505766, 'support': 3426}, 'weighted avg': {'precision': 0.5341979324884453, 'recall': 0.5484530064214828, 'f1-score': 0.5348808256282235, 'support': 3426}};{'-1': {'precision': 0.2857142857142857, 'recall': 0.023448275862068966, 'f1-score': 0.043339706819630335, 'support': 1450}, '1': {'precision': 0.5722054380664653, 'recall': 0.9570490146538656, 'f1-score': 0.7162034411041786, 'support': 1979}, 'accuracy': 0.5622630504520268, 'macro avg': {'precision': 0.4289598618903755, 'recall': 0.4902486452579673, 'f1-score': 0.3797715739619044, 'support': 3429}, 'weighted avg': {'precision': 0.4510586982266693, 'recall': 0.5622630504520268, 'f1-score': 0.43167371969484786, 'support': 3429}};{'-1': {'precision': 0.46741154562383613, 'recall': 0.3405698778833107, 'f1-score': 0.3940345368916797, 'support': 1474}, '1': {'precision': 0.5917681646367072, 'recall': 0.7112569409389198, 'f1-score': 0.646033929390188, 'support': 1981}, 'accuracy': 0.5531114327062229, 'macro avg': {'precision': 0.5295898551302717, 'recall': 0.5259134094111153, 'f1-score': 0.5200342331409339, 'support': 3455}, 'weighted avg': {'precision': 0.5387141396222437, 'recall': 0.5531114327062229, 'f1-score': 0.5385239136035596, 'support': 3455}}
OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.20212765957446807, 'recall': 0.013094417643004824, 'f1-score': 0.02459546925566343, 'support': 1451}, '1': {'precision': 0.5695822061917644, 'recall': 0.9619289340101523, 'f1-score': 0.7154993392486313, 'support': 1970}, 'accuracy': 0.5594855305466238, 'macro avg': {'precision': 0.38585493288311623, 'recall': 0.48751167582657856, 'f1-score': 0.3700474042521474, 'support': 3421}, 'weighted avg': {'precision': 0.4137282023502862, 'recall': 0.5594855305466238, 'f1-score': 0.422455926398647, 'support': 3421}};{'-1': {'precision': 0.22826086956521738, 'recall': 0.014492753623188406, 'f1-score': 0.027255029201817, 'support': 1449}, '1': {'precision': 0.5692307692307692, 'recall': 0.9637385086823289, 'f1-score': 0.7157216006068651, 'support': 1958}, 'accuracy': 0.5600234810683886, 'macro avg': {'precision': 0.3987458193979933, 'recall': 0.48911563115275863, 'f1-score': 0.37148831490434103, 'support': 3407}, 'weighted avg': {'precision': 0.42421598067327443, 'recall': 0.5600234810683886, 'f1-score': 0.42291618177331225, 'support': 3407}};{'-1': {'precision': 0.23, 'recall': 0.01577503429355281, 'f1-score': 0.029525032092426184, 'support': 1458}, '1': {'precision': 0.568550811785929, 'recall': 0.9608739837398373, 'f1-score': 0.7143936531922932, 'support': 1968}, 'accuracy': 0.5586690017513135, 'macro avg': {'precision': 0.3992754058929645, 'recall': 0.48832450901669505, 'f1-score': 0.3719593426423597, 'support': 3426}, 'weighted avg': {'precision': 0.42447402148123425, 'recall': 0.5586690017513135, 'f1-score': 0.4229346778380591, 'support': 3426}};{'-1': {'precision': 0.225, 'recall': 0.012413793103448275, 'f1-score': 0.023529411764705882, 'support': 1450}, '1': {'precision': 0.5724096745297104, 'recall': 0.9686710459828196, 'f1-score': 0.7195945945945945, 'support': 1979}, 'accuracy': 0.5643044619422573, 'macro avg': {'precision': 0.39870483726485517, 'recall': 0.49054241954313393, 'f1-score': 0.3715620031796502, 'support': 3429}, 'weighted avg': {'precision': 0.4255026963821222, 'recall': 0.5643044619422573, 'f1-score': 0.4252538202862426, 'support': 3429}};{'-1': {'precision': 0.22058823529411764, 'recall': 0.0101763907734057, 'f1-score': 0.019455252918287938, 'support': 1474}, '1': {'precision': 0.5692353114850901, 'recall': 0.9732458354366481, 'f1-score': 0.7183308494783904, 'support': 1981}, 'accuracy': 0.5623733719247468, 'macro avg': {'precision': 0.39491177338960387, 'recall': 0.4917111131050269, 'f1-score': 0.3688930511983392, 'support': 3455}, 'weighted avg': {'precision': 0.42049268042706023, 'recall': 0.5623733719247468, 'f1-score': 0.42017089887648273, 'support': 3455}}
OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.1956521739130435, 'recall': 0.012405237767057202, 'f1-score': 0.023331173039533373, 'support': 1451}, '1': {'precision': 0.5695404025232803, 'recall': 0.9624365482233502, 'f1-score': 0.7156067182487262, 'support': 1970}, 'accuracy': 0.5594855305466238, 'macro avg': {'precision': 0.3825962882181619, 'recall': 0.4874208929952037, 'f1-score': 0.3694689456441298, 'support': 3421}, 'weighted avg': {'precision': 0.41095758471753535, 'recall': 0.5594855305466238, 'f1-score': 0.4219815162321992, 'support': 3421}};{'-1': {'precision': 0.4542020774315392, 'recall': 0.33195307108350586, 'f1-score': 0.38357256778309406, 'support': 1449}, '1': {'precision': 0.5877342419080068, 'recall': 0.7048008171603677, 'f1-score': 0.6409660938225731, 'support': 1958}, 'accuracy': 0.5462283533900792, 'macro avg': {'precision': 0.5209681596697731, 'recall': 0.5183769441219368, 'f1-score': 0.5122693308028335, 'support': 3407}, 'weighted avg': {'precision': 0.5309428986950917, 'recall': 0.5462283533900792, 'f1-score': 0.5314964081075144, 'support': 3407}};{'-1': {'precision': 0.2571428571428571, 'recall': 0.012345679012345678, 'f1-score': 0.02356020942408377, 'support': 1458}, '1': {'precision': 0.5709177592371871, 'recall': 0.9735772357723578, 'f1-score': 0.7197595792637116, 'support': 1968}, 'accuracy': 0.5645067133683596, 'macro avg': {'precision': 0.4140303081900221, 'recall': 0.49296145739235175, 'f1-score': 0.3716598943438977, 'support': 3426}, 'weighted avg': {'precision': 0.4373848324264652, 'recall': 0.5645067133683596, 'f1-score': 0.4234785864948332, 'support': 3426}};{'-1': {'precision': 0.2638888888888889, 'recall': 0.01310344827586207, 'f1-score': 0.024967148488830488, 'support': 1450}, '1': {'precision': 0.5737265415549598, 'recall': 0.9732187973724103, 'f1-score': 0.7218890554722639, 'support': 1979}, 'accuracy': 0.5672207640711577, 'macro avg': {'precision': 0.4188077152219244, 'recall': 0.4931611228241362, 'f1-score': 0.3734281019805472, 'support': 3429}, 'weighted avg': {'precision': 0.44270741167283595, 'recall': 0.5672207640711577, 'f1-score': 0.42718600352534686, 'support': 3429}};{'-1': {'precision': 0.46934865900383144, 'recall': 0.33242876526458615, 'f1-score': 0.3891977760127085, 'support': 1474}, '1': {'precision': 0.5918705931148901, 'recall': 0.7203432609793033, 'f1-score': 0.6498178506375227, 'support': 1981}, 'accuracy': 0.5548480463096961, 'macro avg': {'precision': 0.5306096260593608, 'recall': 0.5263860131219448, 'f1-score': 0.5195078133251156, 'support': 3455}, 'weighted avg': {'precision': 0.5395992961887829, 'recall': 0.5548480463096961, 'f1-score': 0.5386300098279783, 'support': 3455}}
OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.3103448275862069, 'recall': 0.037215713301171606, 'f1-score': 0.06646153846153846, 'support': 1451}, '1': {'precision': 0.5697566984909147, 'recall': 0.9390862944162437, 'f1-score': 0.7092198581560285, 'support': 1970}, 'accuracy': 0.5565624086524408, 'macro avg': {'precision': 0.44005076303856083, 'recall': 0.48815100385870763, 'f1-score': 0.3878406983087835, 'support': 3421}, 'weighted avg': {'precision': 0.45972845391835376, 'recall': 0.5565624086524408, 'f1-score': 0.43659713910408315, 'support': 3421}};{'-1': {'precision': 0.2727272727272727, 'recall': 0.024844720496894408, 'f1-score': 0.04554079696394686, 'support': 1449}, '1': {'precision': 0.5685496183206107, 'recall': 0.95097037793667, 'f1-score': 0.7116376839289127, 'support': 1958}, 'accuracy': 0.5570883475198122, 'macro avg': {'precision': 0.4206384455239417, 'recall': 0.48790754921678225, 'f1-score': 0.3785892404464298, 'support': 3407}, 'weighted avg': {'precision': 0.4427361229391177, 'recall': 0.5570883475198122, 'f1-score': 0.4283461109285501, 'support': 3407}};{'-1': {'precision': 0.4566929133858268, 'recall': 0.35802469135802467, 'f1-score': 0.40138408304498274, 'support': 1458}, '1': {'precision': 0.5900131406044679, 'recall': 0.6844512195121951, 'f1-score': 0.6337332392378264, 'support': 1968}, 'accuracy': 0.5455341506129597, 'macro avg': {'precision': 0.5233530269951473, 'recall': 0.5212379554351099, 'f1-score': 0.5175586611414046, 'support': 3426}, 'weighted avg': {'precision': 0.5332761612452214, 'recall': 0.5455341506129597, 'f1-score': 0.5348526000874568, 'support': 3426}};{'-1': {'precision': 0.281437125748503, 'recall': 0.032413793103448274, 'f1-score': 0.058132343846629554, 'support': 1450}, '1': {'precision': 0.5698957694665849, 'recall': 0.9393633148054573, 'f1-score': 0.7094066017935508, 'support': 1979}, 'accuracy': 0.5558471857684456, 'macro avg': {'precision': 0.42566644760754396, 'recall': 0.4858885539544528, 'f1-score': 0.38376947282009016, 'support': 3429}, 'weighted avg': {'precision': 0.44791704873423765, 'recall': 0.5558471857684456, 'f1-score': 0.43400628857598417, 'support': 3429}};{'-1': {'precision': 0.4645048203330412, 'recall': 0.35956580732700133, 'f1-score': 0.40535372848948376, 'support': 1474}, '1': {'precision': 0.592048401037165, 'recall': 0.6915699141847552, 'f1-score': 0.6379511059371362, 'support': 1981}, 'accuracy': 0.5499276410998553, 'macro avg': {'precision': 0.5282766106851031, 'recall': 0.5255678607558782, 'f1-score': 0.52165241721331, 'support': 3455}, 'weighted avg': {'precision': 0.5376347286904564, 'recall': 0.5499276410998553, 'f1-score': 0.538718534487689, 'support': 3455}}
OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.4137392661982826, 'recall': 0.36526533425223984, 'f1-score': 0.38799414348462663, 'support': 1451}, '1': {'precision': 0.569626168224299, 'recall': 0.6187817258883249, 'f1-score': 0.5931873479318734, 'support': 1970}, 'accuracy': 0.5112540192926045, 'macro avg': {'precision': 0.4916827172112908, 'recall': 0.4920235300702824, 'f1-score': 0.49059074570825, 'support': 3421}, 'weighted avg': {'precision': 0.5035075202150181, 'recall': 0.5112540192926045, 'f1-score': 0.5061556789307173, 'support': 3421}};{'-1': {'precision': 0.43010752688172044, 'recall': 0.3588681849551415, 'f1-score': 0.3912716328066215, 'support': 1449}, '1': {'precision': 0.5773430391264787, 'recall': 0.6481103166496425, 'f1-score': 0.6106833493743985, 'support': 1958}, 'accuracy': 0.5250953918403287, 'macro avg': {'precision': 0.5037252830040996, 'recall': 0.503489250802392, 'f1-score': 0.50097749109051, 'support': 3407}, 'weighted avg': {'precision': 0.5147236504435745, 'recall': 0.5250953918403287, 'f1-score': 0.5173673595573428, 'support': 3407}};{'-1': {'precision': 0.24150943396226415, 'recall': 0.0438957475994513, 'f1-score': 0.0742890307603018, 'support': 1458}, '1': {'precision': 0.5590003163555837, 'recall': 0.8978658536585366, 'f1-score': 0.6890232014037823, 'support': 1968}, 'accuracy': 0.5344424985405721, 'macro avg': {'precision': 0.4002548751589239, 'recall': 0.4708808006289939, 'f1-score': 0.38165611608204203, 'support': 3426}, 'weighted avg': {'precision': 0.4238859828677086, 'recall': 0.5344424985405721, 'f1-score': 0.4274112864013904, 'support': 3426}};{'-1': {'precision': 0.418013856812933, 'recall': 0.37448275862068964, 'f1-score': 0.3950527464532557, 'support': 1450}, '1': {'precision': 0.5741784037558686, 'recall': 0.617988883274381, 'f1-score': 0.5952786566074472, 'support': 1979}, 'accuracy': 0.5150189559638378, 'macro avg': {'precision': 0.4960961302844008, 'recall': 0.49623582094753527, 'f1-score': 0.49516570153035144, 'support': 3429}, 'weighted avg': {'precision': 0.5081420686531399, 'recall': 0.5150189559638378, 'f1-score': 0.5106103656411078, 'support': 3429}};{'-1': {'precision': 0.2867647058823529, 'recall': 0.052917232021709636, 'f1-score': 0.08934707903780069, 'support': 1474}, '1': {'precision': 0.5614200439836632, 'recall': 0.9020696617869762, 'f1-score': 0.6920991479473276, 'support': 1981}, 'accuracy': 0.5397973950795948, 'macro avg': {'precision': 0.42409237493300805, 'recall': 0.4774934469043429, 'f1-score': 0.39072311349256417, 'support': 3455}, 'weighted avg': {'precision': 0.44424436573146886, 'recall': 0.5397973950795948, 'f1-score': 0.43494819293353815, 'support': 3455}}
OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.2737226277372263, 'recall': 0.10337698139214335, 'f1-score': 0.1500750375187594, 'support': 1451}, '1': {'precision': 0.5471632439958232, 'recall': 0.7979695431472081, 'f1-score': 0.6491843898410077, 'support': 1970}, 'accuracy': 0.5033615901783104, 'macro avg': {'precision': 0.4104429358665247, 'recall': 0.45067326226967575, 'f1-score': 0.39962971367988354, 'support': 3421}, 'weighted avg': {'precision': 0.4311847774096717, 'recall': 0.5033615901783104, 'f1-score': 0.4374896601655964, 'support': 3421}};{'-1': {'precision': 0.2874743326488706, 'recall': 0.0966183574879227, 'f1-score': 0.1446280991735537, 'support': 1449}, '1': {'precision': 0.5517123287671233, 'recall': 0.8227783452502554, 'f1-score': 0.6605166051660517, 'support': 1958}, 'accuracy': 0.5139418843557382, 'macro avg': {'precision': 0.419593330707997, 'recall': 0.45969835136908904, 'f1-score': 0.4025723521698027, 'support': 3407}, 'weighted avg': {'precision': 0.4393316841016263, 'recall': 0.5139418843557382, 'f1-score': 0.4411087844489605, 'support': 3407}};{'-1': {'precision': 0.2776735459662289, 'recall': 0.10150891632373114, 'f1-score': 0.1486690105474636, 'support': 1458}, '1': {'precision': 0.5471828551676461, 'recall': 0.804369918699187, 'f1-score': 0.6513063155729273, 'support': 1968}, 'accuracy': 0.5052539404553416, 'macro avg': {'precision': 0.4124282005669375, 'recall': 0.45293941751145905, 'f1-score': 0.39998766306019545, 'support': 3426}, 'weighted avg': {'precision': 0.4324880002885842, 'recall': 0.5052539404553416, 'f1-score': 0.4373993714027212, 'support': 3426}};{'-1': {'precision': 0.4065040650406504, 'recall': 0.41379310344827586, 'f1-score': 0.4101161995898838, 'support': 1450}, '1': {'precision': 0.5647721454173067, 'recall': 0.5573521980798383, 'f1-score': 0.5610376398779248, 'support': 1979}, 'accuracy': 0.49664625255176437, 'macro avg': {'precision': 0.48563810522897854, 'recall': 0.4855726507640571, 'f1-score': 0.48557691973390427, 'support': 3429}, 'weighted avg': {'precision': 0.49784630215508696, 'recall': 0.49664625255176437, 'f1-score': 0.49721842482465584, 'support': 3429}};{'-1': {'precision': 0.41683638832315, 'recall': 0.41655359565807326, 'f1-score': 0.4166949440108585, 'support': 1474}, '1': {'precision': 0.5660948536831484, 'recall': 0.5663806158505805, 'f1-score': 0.5662376987130961, 'support': 1981}, 'accuracy': 0.5024602026049204, 'macro avg': {'precision': 0.49146562100314917, 'recall': 0.4914671057543269, 'f1-score': 0.4914663213619773, 'support': 3455}, 'weighted avg': {'precision': 0.5024170018913574, 'recall': 0.5024602026049204, 'f1-score': 0.5024385611064107, 'support': 3455}}
OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.39015817223198596, 'recall': 0.45899379738111645, 'f1-score': 0.42178594046865103, 'support': 1451}, '1': {'precision': 0.5420070011668612, 'recall': 0.4715736040609137, 'f1-score': 0.504343105320304, 'support': 1970}, 'accuracy': 0.4662379421221865, 'macro avg': {'precision': 0.4660825866994236, 'recall': 0.4652837007210151, 'f1-score': 0.4630645228944775, 'support': 3421}, 'weighted avg': {'precision': 0.4776010816157054, 'recall': 0.4662379421221865, 'f1-score': 0.46932689772026065, 'support': 3421}};{'-1': {'precision': 0.39987600743955365, 'recall': 0.4451345755693582, 'f1-score': 0.42129327237099934, 'support': 1449}, '1': {'precision': 0.5518394648829431, 'recall': 0.5056179775280899, 'f1-score': 0.5277185501066098, 'support': 1958}, 'accuracy': 0.4798943351922512, 'macro avg': {'precision': 0.4758577361612484, 'recall': 0.47537627654872405, 'f1-score': 0.4745059112388046, 'support': 3407}, 'weighted avg': {'precision': 0.4872092770826874, 'recall': 0.4798943351922512, 'f1-score': 0.48245578889765783, 'support': 3407}};{'-1': {'precision': 0.29475100942126514, 'recall': 0.15020576131687244, 'f1-score': 0.19900045433893687, 'support': 1458}, '1': {'precision': 0.5382035035408125, 'recall': 0.733739837398374, 'f1-score': 0.6209417329606536, 'support': 1968}, 'accuracy': 0.4854057209573847, 'macro avg': {'precision': 0.41647725648103884, 'recall': 0.44197279935762324, 'f1-score': 0.4099710936497952, 'support': 3426}, 'weighted avg': {'precision': 0.4345976260083256, 'recall': 0.4854057209573847, 'f1-score': 0.4413765303247917, 'support': 3426}};{'-1': {'precision': 0.29774436090225564, 'recall': 0.13655172413793104, 'f1-score': 0.18723404255319148, 'support': 1450}, '1': {'precision': 0.5470332850940666, 'recall': 0.764022233451238, 'f1-score': 0.6375711574952562, 'support': 1979}, 'accuracy': 0.49868766404199477, 'macro avg': {'precision': 0.4223888229981611, 'recall': 0.4502869787945845, 'f1-score': 0.4124026000242238, 'support': 3429}, 'weighted avg': {'precision': 0.44161802114594007, 'recall': 0.49868766404199477, 'f1-score': 0.4471398898761271, 'support': 3429}};{'-1': {'precision': 0.402557856272838, 'recall': 0.44843962008141114, 'f1-score': 0.4242618741976894, 'support': 1474}, '1': {'precision': 0.5515719801434087, 'recall': 0.5047955577990914, 'f1-score': 0.5271481286241433, 'support': 1981}, 'accuracy': 0.4807525325615051, 'macro avg': {'precision': 0.47706491820812336, 'recall': 0.47661758894025125, 'f1-score': 0.4757050014109163, 'support': 3455}, 'weighted avg': {'precision': 0.4879983712909568, 'recall': 0.4807525325615051, 'f1-score': 0.4832539639281684, 'support': 3455}}
OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.3333333333333333, 'recall': 0.22053756030323915, 'f1-score': 0.26545002073828283, 'support': 1451}, '1': {'precision': 0.5404307192198293, 'recall': 0.6751269035532995, 'f1-score': 0.6003159557661928, 'support': 1970}, 'accuracy': 0.48231511254019294, 'macro avg': {'precision': 0.43688202627658135, 'recall': 0.4478322319282693, 'f1-score': 0.4328829882522378, 'support': 3421}, 'weighted avg': {'precision': 0.4525914012071705, 'recall': 0.48231511254019294, 'f1-score': 0.4582842481586227, 'support': 3421}};{'-1': {'precision': 0.3993627190653213, 'recall': 0.5189786059351277, 'f1-score': 0.45138055222088835, 'support': 1449}, '1': {'precision': 0.5426509186351706, 'recall': 0.4223697650663943, 'f1-score': 0.47501435956346927, 'support': 1958}, 'accuracy': 0.4634575873202231, 'macro avg': {'precision': 0.4710068188502459, 'recall': 0.470674185500761, 'f1-score': 0.4631974558921788, 'support': 3407}, 'weighted avg': {'precision': 0.48171032539281317, 'recall': 0.4634575873202231, 'f1-score': 0.46496288118383916, 'support': 3407}};{'-1': {'precision': 0.31275303643724695, 'recall': 0.21193415637860083, 'f1-score': 0.25265739983646773, 'support': 1458}, '1': {'precision': 0.5287120590648072, 'recall': 0.654979674796748, 'f1-score': 0.5851112119836588, 'support': 1968}, 'accuracy': 0.46643315820198483, 'macro avg': {'precision': 0.4207325477510271, 'recall': 0.4334569155876744, 'f1-score': 0.41888430591006326, 'support': 3426}, 'weighted avg': {'precision': 0.43680655556481224, 'recall': 0.46643315820198483, 'f1-score': 0.4436291167966756, 'support': 3426}};{'-1': {'precision': 0.3425827107790822, 'recall': 0.22137931034482758, 'f1-score': 0.2689568496020109, 'support': 1450}, '1': {'precision': 0.5469502407704655, 'recall': 0.6887316826680141, 'f1-score': 0.6097070006709908, 'support': 1979}, 'accuracy': 0.4911052785068533, 'macro avg': {'precision': 0.44476647577477385, 'recall': 0.45505549650642085, 'f1-score': 0.4393319251365009, 'support': 3429}, 'weighted avg': {'precision': 0.46053060866562273, 'recall': 0.4911052785068533, 'f1-score': 0.46561609397807135, 'support': 3429}};{'-1': {'precision': 0.30337078651685395, 'recall': 0.20149253731343283, 'f1-score': 0.24215246636771304, 'support': 1474}, '1': {'precision': 0.5246365105008077, 'recall': 0.6557294295810197, 'f1-score': 0.5829032981826341, 'support': 1981}, 'accuracy': 0.4619392185238784, 'macro avg': {'precision': 0.41400364850883087, 'recall': 0.42861098344722626, 'f1-score': 0.41252788227517356, 'support': 3455}, 'weighted avg': {'precision': 0.4302383405580153, 'recall': 0.4619392185238784, 'f1-score': 0.4375294266644883, 'support': 3455}}
OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.3998136067101584, 'recall': 0.5913163335630599, 'f1-score': 0.4770642201834862, 'support': 1451}, '1': {'precision': 0.5349019607843137, 'recall': 0.3461928934010152, 'f1-score': 0.42033898305084744, 'support': 1970}, 'accuracy': 0.45016077170418006, 'macro avg': {'precision': 0.4673577837472361, 'recall': 0.46875461348203756, 'f1-score': 0.4487016016171668, 'support': 3421}, 'weighted avg': {'precision': 0.4776049126224899, 'recall': 0.45016077170418006, 'f1-score': 0.44439870800830394, 'support': 3421}};{'-1': {'precision': 0.4051355206847361, 'recall': 0.587991718426501, 'f1-score': 0.4797297297297297, 'support': 1449}, '1': {'precision': 0.5421779141104295, 'recall': 0.36108273748723185, 'f1-score': 0.4334763948497854, 'support': 1958}, 'accuracy': 0.45758732022307014, 'macro avg': {'precision': 0.47365671739758275, 'recall': 0.4745372279568664, 'f1-score': 0.45660306228975756, 'support': 3407}, 'weighted avg': {'precision': 0.48389366753754137, 'recall': 0.45758732022307014, 'f1-score': 0.45314797754454306, 'support': 3407}};{'-1': {'precision': 0.3218210361067504, 'recall': 0.2812071330589849, 'f1-score': 0.3001464128843338, 'support': 1458}, '1': {'precision': 0.5130111524163569, 'recall': 0.5609756097560976, 'f1-score': 0.5359223300970873, 'support': 1968}, 'accuracy': 0.44191476941039115, 'macro avg': {'precision': 0.4174160942615536, 'recall': 0.42109137140754127, 'f1-score': 0.41803437149071054, 'support': 3426}, 'weighted avg': {'precision': 0.4316465319903772, 'recall': 0.44191476941039115, 'f1-score': 0.43558336708010115, 'support': 3426}};{'-1': {'precision': 0.395852534562212, 'recall': 0.5924137931034483, 'f1-score': 0.4745856353591161, 'support': 1450}, '1': {'precision': 0.5305798252581414, 'recall': 0.337544214249621, 'f1-score': 0.4126003705991353, 'support': 1979}, 'accuracy': 0.4453193350831146, 'macro avg': {'precision': 0.4632161799101767, 'recall': 0.46497900367653466, 'f1-score': 0.4435930029791257, 'support': 3429}, 'weighted avg': {'precision': 0.4736085299798977, 'recall': 0.4453193350831146, 'f1-score': 0.4388116957382348, 'support': 3429}};{'-1': {'precision': 0.4010082493125573, 'recall': 0.5936227951153324, 'f1-score': 0.4786652078774617, 'support': 1474}, '1': {'precision': 0.5294579732914375, 'recall': 0.3402322059565876, 'f1-score': 0.414259373079287, 'support': 1981}, 'accuracy': 0.4483357452966715, 'macro avg': {'precision': 0.4652331113019974, 'recall': 0.46692750053596, 'f1-score': 0.4464622904783744, 'support': 3455}, 'weighted avg': {'precision': 0.4746577147835158, 'recall': 0.4483357452966715, 'f1-score': 0.44173671041431145, 'support': 3455}}
OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.4288245717660957, 'recall': 0.5003445899379738, 'f1-score': 0.4618320610687023, 'support': 1451}, '1': {'precision': 0.5804398148148148, 'recall': 0.5091370558375634, 'f1-score': 0.5424553812871822, 'support': 1970}, 'accuracy': 0.5054077755042385, 'macro avg': {'precision': 0.5046321932904552, 'recall': 0.5047408228877686, 'f1-score': 0.5021437211779423, 'support': 3421}, 'weighted avg': {'precision': 0.5161329695462701, 'recall': 0.5054077755042385, 'f1-score': 0.508259404193638, 'support': 3421}};{'-1': {'precision': 0.4397553516819572, 'recall': 0.49620427881297446, 'f1-score': 0.4662775616083009, 'support': 1449}, '1': {'precision': 0.5880361173814899, 'recall': 0.5321756894790602, 'f1-score': 0.5587131367292225, 'support': 1958}, 'accuracy': 0.5168770179043146, 'macro avg': {'precision': 0.5138957345317235, 'recall': 0.5141899841460174, 'f1-score': 0.5124953491687617, 'support': 3407}, 'weighted avg': {'precision': 0.5249721815145622, 'recall': 0.5168770179043146, 'f1-score': 0.5194002079501748, 'support': 3407}};{'-1': {'precision': 0.44302369311771345, 'recall': 0.8079561042524005, 'f1-score': 0.5722613553558416, 'support': 1458}, '1': {'precision': 0.6349413298565841, 'recall': 0.24745934959349594, 'f1-score': 0.35612431444241316, 'support': 1968}, 'accuracy': 0.4859894921190893, 'macro avg': {'precision': 0.5389825114871488, 'recall': 0.5277077269229482, 'f1-score': 0.4641928348991273, 'support': 3426}, 'weighted avg': {'precision': 0.5532670991603572, 'recall': 0.4859894921190893, 'f1-score': 0.44810557703779513, 'support': 3426}};{'-1': {'precision': 0.34210526315789475, 'recall': 0.32275862068965516, 'f1-score': 0.3321504613200852, 'support': 1450}, '1': {'precision': 0.5235322658903445, 'recall': 0.5452248610409297, 'f1-score': 0.5341584158415842, 'support': 1979}, 'accuracy': 0.45115193934091574, 'macro avg': {'precision': 0.4328187645241196, 'recall': 0.43399174086529246, 'f1-score': 0.4331544385808347, 'support': 3429}, 'weighted avg': {'precision': 0.4468133525155844, 'recall': 0.45115193934091574, 'f1-score': 0.4487365628068296, 'support': 3429}};{'-1': {'precision': 0.344017094017094, 'recall': 0.3276797829036635, 'f1-score': 0.3356497567755386, 'support': 1474}, '1': {'precision': 0.5168210628961483, 'recall': 0.5350832912670368, 'f1-score': 0.5257936507936508, 'support': 1981}, 'accuracy': 0.44659913169319826, 'macro avg': {'precision': 0.43041907845662114, 'recall': 0.43138153708535015, 'f1-score': 0.43072170378459473, 'support': 3455}, 'weighted avg': {'precision': 0.44309803825715377, 'recall': 0.44659913169319826, 'f1-score': 0.4446729272675444, 'support': 3455}}
