Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.20276497695852536, 'recall': 0.07006369426751592, 'f1-score': 0.10414201183431952, 'support': 628}, '1': {'precision': 0.7543121581825831, 'recall': 0.9120040691759919, 'f1-score': 0.8256965231406861, 'support': 1966}, 'accuracy': 0.7081727062451811, 'macro avg': {'precision': 0.47853856757055424, 'recall': 0.4910338817217539, 'f1-score': 0.4649192674875028, 'support': 2594}, 'weighted avg': {'precision': 0.6207841590273371, 'recall': 0.7081727062451811, 'f1-score': 0.6510102343587284, 'support': 2594}};{'-1': {'precision': 0.2358974358974359, 'recall': 0.07313195548489666, 'f1-score': 0.1116504854368932, 'support': 629}, '1': {'precision': 0.758592132505176, 'recall': 0.9247854618879354, 'f1-score': 0.8334849863512285, 'support': 1981}, 'accuracy': 0.7195402298850575, 'macro avg': {'precision': 0.4972447842013059, 'recall': 0.49895870868641606, 'f1-score': 0.4725677358940608, 'support': 2610}, 'weighted avg': {'precision': 0.6326247132843834, 'recall': 0.7195402298850575, 'f1-score': 0.6595256372803026, 'support': 2610}};{'-1': {'precision': 0.23863636363636365, 'recall': 0.06698564593301436, 'f1-score': 0.10460772104607721, 'support': 627}, '1': {'precision': 0.7591601482091396, 'recall': 0.9322548028311426, 'f1-score': 0.8368504651690493, 'support': 1978}, 'accuracy': 0.7239923224568138, 'macro avg': {'precision': 0.4988982559227516, 'recall': 0.4996202243820785, 'f1-score': 0.4707290931075632, 'support': 2605}, 'weighted avg': {'precision': 0.6338747689664791, 'recall': 0.7239923224568138, 'f1-score': 0.6606062423033665, 'support': 2605}};{'-1': {'precision': 0.22033898305084745, 'recall': 0.06260032102728733, 'f1-score': 0.0975, 'support': 623}, '1': {'precision': 0.759075907590759, 'recall': 0.9302325581395349, 'f1-score': 0.8359836437982735, 'support': 1978}, 'accuracy': 0.7224144559784699, 'macro avg': {'precision': 0.48970744532080324, 'recall': 0.4964164395834111, 'f1-score': 0.46674182189913677, 'support': 2601}, 'weighted avg': {'precision': 0.6300358829893115, 'recall': 0.7224144559784699, 'f1-score': 0.6590996337689293, 'support': 2601}};{'-1': {'precision': 0.32456140350877194, 'recall': 0.05901116427432217, 'f1-score': 0.09986504723346828, 'support': 627}, '1': {'precision': 0.7628617363344051, 'recall': 0.9610126582278481, 'f1-score': 0.8505489580999327, 'support': 1975}, 'accuracy': 0.7436587240584166, 'macro avg': {'precision': 0.5437115699215885, 'recall': 0.5100119112510851, 'f1-score': 0.47520700266670046, 'support': 2602}, 'weighted avg': {'precision': 0.6572451688164681, 'recall': 0.7436587240584166, 'f1-score': 0.6696577927989054, 'support': 2602}}
OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.17333333333333334, 'recall': 0.041401273885350316, 'f1-score': 0.06683804627249357, 'support': 628}, '1': {'precision': 0.7536824877250409, 'recall': 0.9369277721261444, 'f1-score': 0.8353741496598639, 'support': 1966}, 'accuracy': 0.7201233616037008, 'macro avg': {'precision': 0.4635079105291871, 'recall': 0.48916452300574736, 'f1-score': 0.45110609796617873, 'support': 2594}, 'weighted avg': {'precision': 0.6131816130303637, 'recall': 0.7201233616037008, 'f1-score': 0.6493137514612253, 'support': 2594}};{'-1': {'precision': 0.2215568862275449, 'recall': 0.058823529411764705, 'f1-score': 0.09296482412060302, 'support': 629}, '1': {'precision': 0.7576749897666804, 'recall': 0.9343765774861181, 'f1-score': 0.8367992766726945, 'support': 1981}, 'accuracy': 0.7233716475095785, 'macro avg': {'precision': 0.4896159379971126, 'recall': 0.4966000534489414, 'f1-score': 0.46488205039664876, 'support': 2610}, 'weighted avg': {'precision': 0.6284725809060995, 'recall': 0.7233716475095785, 'f1-score': 0.6575380235480716, 'support': 2610}};{'-1': {'precision': 0.256, 'recall': 0.051036682615629984, 'f1-score': 0.0851063829787234, 'support': 627}, '1': {'precision': 0.7600806451612904, 'recall': 0.9529828109201214, 'f1-score': 0.8456707043517272, 'support': 1978}, 'accuracy': 0.7358925143953935, 'macro avg': {'precision': 0.5080403225806451, 'recall': 0.5020097467678757, 'f1-score': 0.4653885436652253, 'support': 2605}, 'weighted avg': {'precision': 0.6387529812395518, 'recall': 0.7358925143953935, 'f1-score': 0.6626097333341174, 'support': 2605}};{'-1': {'precision': 0.21904761904761905, 'recall': 0.03691813804173355, 'f1-score': 0.0631868131868132, 'support': 623}, '1': {'precision': 0.7596153846153846, 'recall': 0.9585439838220424, 'f1-score': 0.8475637013857845, 'support': 1978}, 'accuracy': 0.7377931564782776, 'macro avg': {'precision': 0.4893315018315018, 'recall': 0.497731060931888, 'f1-score': 0.45537525728629885, 'support': 2601}, 'weighted avg': {'precision': 0.6301368310018829, 'recall': 0.7377931564782776, 'f1-score': 0.6596871918325514, 'support': 2601}};{'-1': {'precision': 0.16, 'recall': 0.019138755980861243, 'f1-score': 0.03418803418803419, 'support': 627}, '1': {'precision': 0.7566284131381085, 'recall': 0.9681012658227848, 'f1-score': 0.8494002665482008, 'support': 1975}, 'accuracy': 0.7394312067640276, 'macro avg': {'precision': 0.45831420656905425, 'recall': 0.493620010901823, 'f1-score': 0.4417941503681175, 'support': 2602}, 'weighted avg': {'precision': 0.6128597678507932, 'recall': 0.7394312067640276, 'f1-score': 0.6529598093269001, 'support': 2602}}
OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.19205298013245034, 'recall': 0.04617834394904458, 'f1-score': 0.07445442875481387, 'support': 628}, '1': {'precision': 0.7548096602537864, 'recall': 0.9379450661241099, 'f1-score': 0.8364708550691766, 'support': 1966}, 'accuracy': 0.7220508866615266, 'macro avg': {'precision': 0.47343132019311834, 'recall': 0.49206170503657726, 'f1-score': 0.45546264191199526, 'support': 2594}, 'weighted avg': {'precision': 0.6185678733932626, 'recall': 0.7220508866615266, 'f1-score': 0.6519888520909886, 'support': 2594}};{'-1': {'precision': 0.22093023255813954, 'recall': 0.030206677265500796, 'f1-score': 0.05314685314685314, 'support': 629}, '1': {'precision': 0.7583201267828843, 'recall': 0.9661786976274609, 'f1-score': 0.8497225305216426, 'support': 1981}, 'accuracy': 0.7406130268199234, 'macro avg': {'precision': 0.4896251796705119, 'recall': 0.4981926874464808, 'f1-score': 0.4514346918342479, 'support': 2610}, 'weighted avg': {'precision': 0.6288112212398328, 'recall': 0.7406130268199234, 'f1-score': 0.6577508442884078, 'support': 2610}};{'-1': {'precision': 0.23140495867768596, 'recall': 0.044657097288676235, 'f1-score': 0.07486631016042782, 'support': 627}, '1': {'precision': 0.7588566827697263, 'recall': 0.9529828109201214, 'f1-score': 0.8449125952487675, 'support': 1978}, 'accuracy': 0.7343570057581574, 'macro avg': {'precision': 0.4951308207237061, 'recall': 0.49881995410439883, 'f1-score': 0.45988945270459763, 'support': 2605}, 'weighted avg': {'precision': 0.6319038109825058, 'recall': 0.7343570057581574, 'f1-score': 0.6595694011027449, 'support': 2605}};{'-1': {'precision': 0.21678321678321677, 'recall': 0.04975922953451043, 'f1-score': 0.08093994778067884, 'support': 623}, '1': {'precision': 0.7591537835638731, 'recall': 0.9433771486349848, 'f1-score': 0.8412984670874661, 'support': 1978}, 'accuracy': 0.7293348712033834, 'macro avg': {'precision': 0.48796850017354493, 'recall': 0.4965681890847476, 'f1-score': 0.4611192074340725, 'support': 2601}, 'weighted avg': {'precision': 0.6292434171262149, 'recall': 0.7293348712033834, 'f1-score': 0.659174915558005, 'support': 2601}};{'-1': {'precision': 0.2222222222222222, 'recall': 0.025518341307814992, 'f1-score': 0.045779685264663805, 'support': 627}, '1': {'precision': 0.758498023715415, 'recall': 0.9716455696202532, 'f1-score': 0.8519422863485017, 'support': 1975}, 'accuracy': 0.7436587240584166, 'macro avg': {'precision': 0.4903601229688186, 'recall': 0.49858195546403405, 'f1-score': 0.44886098580658274, 'support': 2602}, 'weighted avg': {'precision': 0.6292724558690537, 'recall': 0.7436587240584166, 'f1-score': 0.6576825050727267, 'support': 2602}}
OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.2, 'recall': 0.04617834394904458, 'f1-score': 0.07503234152652005, 'support': 628}, '1': {'precision': 0.7554103715802368, 'recall': 0.940996948118006, 'f1-score': 0.8380520951302378, 'support': 1966}, 'accuracy': 0.7243639167309175, 'macro avg': {'precision': 0.47770518579011845, 'recall': 0.49358764603352534, 'f1-score': 0.45654221832837893, 'support': 2594}, 'weighted avg': {'precision': 0.6209471050604262, 'recall': 0.7243639167309175, 'f1-score': 0.6533271894775259, 'support': 2594}};{'-1': {'precision': 0.22826086956521738, 'recall': 0.06677265500794913, 'f1-score': 0.1033210332103321, 'support': 629}, '1': {'precision': 0.7580379225061831, 'recall': 0.928319030792529, 'f1-score': 0.8345813478556843, 'support': 1981}, 'accuracy': 0.7206896551724138, 'macro avg': {'precision': 0.49314939603570024, 'recall': 0.49754584290023907, 'f1-score': 0.4689511905330082, 'support': 2610}, 'weighted avg': {'precision': 0.6303636825445481, 'recall': 0.7206896551724138, 'f1-score': 0.6583504137898121, 'support': 2610}};{'-1': {'precision': 0.2196969696969697, 'recall': 0.046251993620414676, 'f1-score': 0.07641633728590251, 'support': 627}, '1': {'precision': 0.75818843509907, 'recall': 0.9479271991911021, 'f1-score': 0.8425073017299485, 'support': 1978}, 'accuracy': 0.7309021113243762, 'macro avg': {'precision': 0.48894270239801985, 'recall': 0.4970895964057584, 'f1-score': 0.4594618195079255, 'support': 2605}, 'weighted avg': {'precision': 0.6285783971692745, 'recall': 0.7309021113243762, 'f1-score': 0.6581161175816118, 'support': 2605}};{'-1': {'precision': 0.2230769230769231, 'recall': 0.04654895666131621, 'f1-score': 0.07702523240371846, 'support': 623}, '1': {'precision': 0.7596114933225415, 'recall': 0.9489383215369059, 'f1-score': 0.8437851202517419, 'support': 1978}, 'accuracy': 0.73279507881584, 'macro avg': {'precision': 0.4913442081997323, 'recall': 0.49774363909911107, 'f1-score': 0.4604051763277302, 'support': 2601}, 'weighted avg': {'precision': 0.6310989838019647, 'recall': 0.73279507881584, 'f1-score': 0.6601282920590013, 'support': 2601}};{'-1': {'precision': 0.2616822429906542, 'recall': 0.044657097288676235, 'f1-score': 0.07629427792915532, 'support': 627}, '1': {'precision': 0.7599198396793587, 'recall': 0.96, 'f1-score': 0.8483221476510067, 'support': 1975}, 'accuracy': 0.7394312067640276, 'macro avg': {'precision': 0.5108010413350065, 'recall': 0.5023285486443381, 'f1-score': 0.462308212790081, 'support': 2602}, 'weighted avg': {'precision': 0.639860280446531, 'recall': 0.7394312067640276, 'f1-score': 0.6622877609040424, 'support': 2602}}
OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.22903225806451613, 'recall': 0.11305732484076433, 'f1-score': 0.1513859275053305, 'support': 628}, '1': {'precision': 0.7561295971978984, 'recall': 0.8784333672431333, 'f1-score': 0.8127058823529412, 'support': 1966}, 'accuracy': 0.6931380107941403, 'macro avg': {'precision': 0.49258092763120725, 'recall': 0.4957453460419488, 'f1-score': 0.48204590492913585, 'support': 2594}, 'weighted avg': {'precision': 0.6285208350638335, 'recall': 0.6931380107941403, 'f1-score': 0.6526022078562953, 'support': 2594}};{'-1': {'precision': 0.2248995983935743, 'recall': 0.0890302066772655, 'f1-score': 0.1275626423690205, 'support': 629}, '1': {'precision': 0.7573062261753494, 'recall': 0.9025744573447754, 'f1-score': 0.8235836020267158, 'support': 1981}, 'accuracy': 0.7065134099616859, 'macro avg': {'precision': 0.49110291228446185, 'recall': 0.4958023320110204, 'f1-score': 0.4755731221978681, 'support': 2610}, 'weighted avg': {'precision': 0.6289982687520786, 'recall': 0.7065134099616859, 'f1-score': 0.6558452174961831, 'support': 2610}};{'-1': {'precision': 0.22594142259414227, 'recall': 0.0861244019138756, 'f1-score': 0.12471131639722863, 'support': 627}, '1': {'precision': 0.7578191039729502, 'recall': 0.9064711830131446, 'f1-score': 0.8255064456721916, 'support': 1978}, 'accuracy': 0.709021113243762, 'macro avg': {'precision': 0.4918802632835462, 'recall': 0.4962977924635101, 'f1-score': 0.4751088810347101, 'support': 2605}, 'weighted avg': {'precision': 0.6298009441938666, 'recall': 0.709021113243762, 'f1-score': 0.65683138000793, 'support': 2605}};{'-1': {'precision': 0.24719101123595505, 'recall': 0.10593900481540931, 'f1-score': 0.14831460674157304, 'support': 623}, '1': {'precision': 0.7613538988860326, 'recall': 0.8983822042467139, 'f1-score': 0.8242115027829313, 'support': 1978}, 'accuracy': 0.7085736255286428, 'macro avg': {'precision': 0.5042724550609938, 'recall': 0.5021606045310616, 'f1-score': 0.4862630547622522, 'support': 2601}, 'weighted avg': {'precision': 0.6381999277187899, 'recall': 0.7085736255286428, 'f1-score': 0.6623184746269274, 'support': 2601}};{'-1': {'precision': 0.2550607287449393, 'recall': 0.10047846889952153, 'f1-score': 0.14416475972540047, 'support': 627}, '1': {'precision': 0.7605095541401274, 'recall': 0.9068354430379747, 'f1-score': 0.8272517321016166, 'support': 1975}, 'accuracy': 0.7125288239815527, 'macro avg': {'precision': 0.5077851414425334, 'recall': 0.5036569559687482, 'f1-score': 0.48570824591350853, 'support': 2602}, 'weighted avg': {'precision': 0.6387123160452839, 'recall': 0.7125288239815527, 'f1-score': 0.6626492987119595, 'support': 2602}}
OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.2159709618874773, 'recall': 0.18949044585987262, 'f1-score': 0.20186598812553008, 'support': 628}, '1': {'precision': 0.7508565834557024, 'recall': 0.780264496439471, 'f1-score': 0.765278124220504, 'support': 1966}, 'accuracy': 0.6372397841171935, 'macro avg': {'precision': 0.48341377267158986, 'recall': 0.48487747114967183, 'f1-score': 0.483572056173017, 'support': 2594}, 'weighted avg': {'precision': 0.6213623003620844, 'recall': 0.6372397841171935, 'f1-score': 0.628877653338606, 'support': 2594}};{'-1': {'precision': 0.22242647058823528, 'recall': 0.19236883942766295, 'f1-score': 0.20630861040068202, 'support': 629}, '1': {'precision': 0.7541142303969022, 'recall': 0.7864714790509844, 'f1-score': 0.7699530516431924, 'support': 1981}, 'accuracy': 0.6432950191570881, 'macro avg': {'precision': 0.4882703504925687, 'recall': 0.48942015923932364, 'f1-score': 0.4881308310219372, 'support': 2610}, 'weighted avg': {'precision': 0.6259795174008671, 'recall': 0.6432950191570881, 'f1-score': 0.6341169008609935, 'support': 2610}};{'-1': {'precision': 0.22817460317460317, 'recall': 0.18341307814992025, 'f1-score': 0.20335985853227234, 'support': 627}, '1': {'precision': 0.7563065207044265, 'recall': 0.8033367037411526, 'f1-score': 0.7791125275802893, 'support': 1978}, 'accuracy': 0.654126679462572, 'macro avg': {'precision': 0.4922405619395148, 'recall': 0.49337489094553644, 'f1-score': 0.4912361930562808, 'support': 2605}, 'weighted avg': {'precision': 0.6291899324928336, 'recall': 0.654126679462572, 'f1-score': 0.6405340540704595, 'support': 2605}};{'-1': {'precision': 0.23151750972762647, 'recall': 0.19101123595505617, 'f1-score': 0.20932277924362358, 'support': 623}, '1': {'precision': 0.7585050311451845, 'recall': 0.8003033367037411, 'f1-score': 0.7788437884378844, 'support': 1978}, 'accuracy': 0.6543637062668205, 'macro avg': {'precision': 0.49501127043640547, 'recall': 0.49565728632939865, 'f1-score': 0.49408328384075395, 'support': 2601}, 'weighted avg': {'precision': 0.632279261886, 'recall': 0.6543637062668205, 'f1-score': 0.642430259515153, 'support': 2601}};{'-1': {'precision': 0.23958333333333334, 'recall': 0.18341307814992025, 'f1-score': 0.2077687443541102, 'support': 627}, '1': {'precision': 0.7587181903864278, 'recall': 0.8151898734177215, 'f1-score': 0.7859409323895533, 'support': 1975}, 'accuracy': 0.6629515757109915, 'macro avg': {'precision': 0.4991507618598806, 'recall': 0.4993014757838209, 'f1-score': 0.49685483837183175, 'support': 2602}, 'weighted avg': {'precision': 0.6336230499666392, 'recall': 0.6629515757109915, 'f1-score': 0.6466196557184454, 'support': 2602}}
OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.23891625615763548, 'recall': 0.3089171974522293, 'f1-score': 0.26944444444444443, 'support': 628}, '1': {'precision': 0.7564534231200898, 'recall': 0.6856561546286877, 'f1-score': 0.71931696905016, 'support': 1966}, 'accuracy': 0.5944487278334618, 'macro avg': {'precision': 0.4976848396388626, 'recall': 0.4972866760404585, 'f1-score': 0.49438070674730217, 'support': 2594}, 'weighted avg': {'precision': 0.6311591513959489, 'recall': 0.5944487278334618, 'f1-score': 0.6104041142111509, 'support': 2594}};{'-1': {'precision': 0.24067388688327315, 'recall': 0.3179650238473768, 'f1-score': 0.273972602739726, 'support': 629}, '1': {'precision': 0.7588532883642496, 'recall': 0.6814740030287734, 'f1-score': 0.7180851063829788, 'support': 1981}, 'accuracy': 0.5938697318007663, 'macro avg': {'precision': 0.4997635876237614, 'recall': 0.4997195134380751, 'f1-score': 0.49602885456135243, 'support': 2610}, 'weighted avg': {'precision': 0.6339740379690258, 'recall': 0.5938697318007663, 'f1-score': 0.6110556945854286, 'support': 2610}};{'-1': {'precision': 0.24811083123425692, 'recall': 0.3141945773524721, 'f1-score': 0.2772695285010556, 'support': 627}, '1': {'precision': 0.7625621203754832, 'recall': 0.6981799797775531, 'f1-score': 0.7289522301398786, 'support': 1978}, 'accuracy': 0.6057581573896353, 'macro avg': {'precision': 0.5053364758048701, 'recall': 0.5061872785650126, 'f1-score': 0.503110879320467, 'support': 2605}, 'weighted avg': {'precision': 0.6387383360025277, 'recall': 0.6057581573896353, 'f1-score': 0.6202362785362157, 'support': 2605}};{'-1': {'precision': 0.259946949602122, 'recall': 0.3146067415730337, 'f1-score': 0.28467683369644153, 'support': 623}, '1': {'precision': 0.7688142934488359, 'recall': 0.717896865520728, 'f1-score': 0.7424836601307189, 'support': 1978}, 'accuracy': 0.6212995001922338, 'macro avg': {'precision': 0.5143806215254789, 'recall': 0.5162518035468808, 'f1-score': 0.5135802469135802, 'support': 2601}, 'weighted avg': {'precision': 0.6469287281983542, 'recall': 0.6212995001922338, 'f1-score': 0.6328282764826778, 'support': 2601}};{'-1': {'precision': 0.25, 'recall': 0.3014354066985646, 'f1-score': 0.2733188720173536, 'support': 627}, '1': {'precision': 0.7627302275189599, 'recall': 0.7129113924050633, 'f1-score': 0.7369798482072756, 'support': 1975}, 'accuracy': 0.6137586471944658, 'macro avg': {'precision': 0.50636511375948, 'recall': 0.507173399551814, 'f1-score': 0.5051493601123146, 'support': 2602}, 'weighted avg': {'precision': 0.6391784009799946, 'recall': 0.6137586471944658, 'f1-score': 0.625252164859435, 'support': 2602}}
OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.24838411819021236, 'recall': 0.428343949044586, 'f1-score': 0.3144360023378141, 'support': 628}, '1': {'precision': 0.7624090006618134, 'recall': 0.5859613428280773, 'f1-score': 0.6626402070750647, 'support': 1966}, 'accuracy': 0.5478026214340787, 'macro avg': {'precision': 0.5053965594260129, 'recall': 0.5071526459363317, 'f1-score': 0.4885381047064394, 'support': 2594}, 'weighted avg': {'precision': 0.6379650429932839, 'recall': 0.5478026214340787, 'f1-score': 0.5783409624432245, 'support': 2594}};{'-1': {'precision': 0.2476894639556377, 'recall': 0.4260731319554849, 'f1-score': 0.31326709526592633, 'support': 629}, '1': {'precision': 0.7637434554973822, 'recall': 0.5890964159515396, 'f1-score': 0.6651467654602451, 'support': 1981}, 'accuracy': 0.5498084291187739, 'macro avg': {'precision': 0.5057164597265099, 'recall': 0.5075847739535122, 'f1-score': 0.4892069303630857, 'support': 2610}, 'weighted avg': {'precision': 0.6393764207541801, 'recall': 0.5498084291187739, 'f1-score': 0.5803451131413844, 'support': 2610}};{'-1': {'precision': 0.25, 'recall': 0.4178628389154705, 'f1-score': 0.31283582089552237, 'support': 627}, '1': {'precision': 0.7655748233782916, 'recall': 0.60262891809909, 'f1-score': 0.6743988684582745, 'support': 1978}, 'accuracy': 0.5581573896353167, 'macro avg': {'precision': 0.5077874116891459, 'recall': 0.5102458785072803, 'f1-score': 0.49361734467689844, 'support': 2605}, 'weighted avg': {'precision': 0.6414806144500041, 'recall': 0.5581573896353167, 'f1-score': 0.5873739046111168, 'support': 2605}};{'-1': {'precision': 0.2561576354679803, 'recall': 0.4173354735152488, 'f1-score': 0.31746031746031744, 'support': 623}, '1': {'precision': 0.7711223203026482, 'recall': 0.6183013144590496, 'f1-score': 0.686307519640853, 'support': 1978}, 'accuracy': 0.570165321030373, 'macro avg': {'precision': 0.5136399778853142, 'recall': 0.5178183939871492, 'f1-score': 0.5018839185505852, 'support': 2601}, 'weighted avg': {'precision': 0.6477763000596655, 'recall': 0.570165321030373, 'f1-score': 0.5979600352277528, 'support': 2601}};{'-1': {'precision': 0.25357483317445184, 'recall': 0.42424242424242425, 'f1-score': 0.31742243436754175, 'support': 627}, '1': {'precision': 0.7675466838377334, 'recall': 0.6035443037974684, 'f1-score': 0.6757369614512472, 'support': 1975}, 'accuracy': 0.5603382013835511, 'macro avg': {'precision': 0.5105607585060926, 'recall': 0.5138933640199463, 'f1-score': 0.4965796979093945, 'support': 2602}, 'weighted avg': {'precision': 0.6436956652497712, 'recall': 0.5603382013835511, 'f1-score': 0.5893944524268493, 'support': 2602}}
OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.2457185405807893, 'recall': 0.5254777070063694, 'f1-score': 0.33485540334855407, 'support': 628}, '1': {'precision': 0.7617905675459632, 'recall': 0.48474059003051884, 'f1-score': 0.5924774634752875, 'support': 1966}, 'accuracy': 0.4946029298380879, 'macro avg': {'precision': 0.5037545540633762, 'recall': 0.5051091485184441, 'f1-score': 0.4636664334119208, 'support': 2594}, 'weighted avg': {'precision': 0.6368510020355047, 'recall': 0.4946029298380879, 'f1-score': 0.5301078976466104, 'support': 2594}};{'-1': {'precision': 0.24367317425885757, 'recall': 0.5357710651828299, 'f1-score': 0.3349900596421471, 'support': 629}, '1': {'precision': 0.7620211898940505, 'recall': 0.4719838465421504, 'f1-score': 0.5829177057356608, 'support': 1981}, 'accuracy': 0.48735632183908045, 'macro avg': {'precision': 0.5028471820764541, 'recall': 0.5038774558624901, 'f1-score': 0.45895388268890397, 'support': 2610}, 'weighted avg': {'precision': 0.6371013041336918, 'recall': 0.48735632183908045, 'f1-score': 0.5231680929414768, 'support': 2610}};{'-1': {'precision': 0.25019186492709133, 'recall': 0.5199362041467305, 'f1-score': 0.33782383419689116, 'support': 627}, '1': {'precision': 0.7688172043010753, 'recall': 0.506066734074823, 'f1-score': 0.6103658536585366, 'support': 1978}, 'accuracy': 0.509404990403071, 'macro avg': {'precision': 0.5095045346140833, 'recall': 0.5130014691107767, 'f1-score': 0.47409484392771384, 'support': 2605}, 'weighted avg': {'precision': 0.6439887636916749, 'recall': 0.509404990403071, 'f1-score': 0.5447674482065398, 'support': 2605}};{'-1': {'precision': 0.25234375, 'recall': 0.5184590690208668, 'f1-score': 0.3394640042038886, 'support': 623}, '1': {'precision': 0.7728993186979561, 'recall': 0.5161779575328614, 'f1-score': 0.6189754471051834, 'support': 1978}, 'accuracy': 0.5167243367935409, 'macro avg': {'precision': 0.5126215343489781, 'recall': 0.5173185132768641, 'f1-score': 0.47921972565453597, 'support': 2601}, 'weighted avg': {'precision': 0.6482141517241666, 'recall': 0.5167243367935409, 'f1-score': 0.5520259550146388, 'support': 2601}};{'-1': {'precision': 0.253322908522283, 'recall': 0.5167464114832536, 'f1-score': 0.33997901364113325, 'support': 627}, '1': {'precision': 0.7709750566893424, 'recall': 0.5164556962025316, 'f1-score': 0.6185567010309277, 'support': 1975}, 'accuracy': 0.5165257494235204, 'macro avg': {'precision': 0.5121489826058128, 'recall': 0.5166010538428927, 'f1-score': 0.4792678573360305, 'support': 2602}, 'weighted avg': {'precision': 0.6462372023846744, 'recall': 0.5165257494235204, 'f1-score': 0.5514282575284677, 'support': 2602}}
OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.24828446662507797, 'recall': 0.6337579617834395, 'f1-score': 0.3567906768265352, 'support': 628}, '1': {'precision': 0.7679112008072654, 'recall': 0.38708036622583925, 'f1-score': 0.5147108555968888, 'support': 1966}, 'accuracy': 0.44680030840400925, 'macro avg': {'precision': 0.5080978337161717, 'recall': 0.5104191640046394, 'f1-score': 0.435750766211712, 'support': 2594}, 'weighted avg': {'precision': 0.6421110508202131, 'recall': 0.44680030840400925, 'f1-score': 0.47647883082133674, 'support': 2594}};{'-1': {'precision': 0.24663402692778458, 'recall': 0.6406995230524642, 'f1-score': 0.3561643835616438, 'support': 629}, '1': {'precision': 0.7684426229508197, 'recall': 0.37859666834931854, 'f1-score': 0.5072708826513359, 'support': 1981}, 'accuracy': 0.4417624521072797, 'macro avg': {'precision': 0.5075383249393022, 'recall': 0.5096480957008914, 'f1-score': 0.43171763310648986, 'support': 2610}, 'weighted avg': {'precision': 0.6426887505759197, 'recall': 0.4417624521072797, 'f1-score': 0.4708547953228239, 'support': 2610}};{'-1': {'precision': 0.25206874602164225, 'recall': 0.631578947368421, 'f1-score': 0.36032757051865333, 'support': 627}, '1': {'precision': 0.776595744680851, 'recall': 0.40596562184024265, 'f1-score': 0.5332005312084993, 'support': 1978}, 'accuracy': 0.4602687140115163, 'macro avg': {'precision': 0.5143322453512467, 'recall': 0.5187722846043319, 'f1-score': 0.4467640508635763, 'support': 2605}, 'weighted avg': {'precision': 0.6503468279210338, 'recall': 0.4602687140115163, 'f1-score': 0.4915915690770085, 'support': 2605}};{'-1': {'precision': 0.2527759634225996, 'recall': 0.6211878009630819, 'f1-score': 0.35933147632311985, 'support': 623}, '1': {'precision': 0.7794392523364486, 'recall': 0.42163801820020225, 'f1-score': 0.5472440944881891, 'support': 1978}, 'accuracy': 0.46943483275663206, 'macro avg': {'precision': 0.5161076078795241, 'recall': 0.5214129095816421, 'f1-score': 0.4532877854056545, 'support': 2601}, 'weighted avg': {'precision': 0.6532911443036428, 'recall': 0.46943483275663206, 'f1-score': 0.5022346515366942, 'support': 2601}};{'-1': {'precision': 0.25323834196891193, 'recall': 0.6236044657097288, 'f1-score': 0.3602026715799171, 'support': 627}, '1': {'precision': 0.776937618147448, 'recall': 0.41620253164556964, 'f1-score': 0.5420375865479723, 'support': 1975}, 'accuracy': 0.46617986164488856, 'macro avg': {'precision': 0.51508798005818, 'recall': 0.5199034986776492, 'f1-score': 0.4511201290639447, 'support': 2602}, 'weighted avg': {'precision': 0.6507425965625355, 'recall': 0.46617986164488856, 'f1-score': 0.4982211024261542, 'support': 2602}}
