Parameters;fold1;fold2;fold3;fold4;fold5
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 628}, '1': {'precision': 0.7577160493827161, 'recall': 0.9989827060020345, 'f1-score': 0.8617814831066257, 'support': 1966}, 'accuracy': 0.7571318427139553, 'macro avg': {'precision': 0.37885802469135804, 'recall': 0.49949135300101727, 'f1-score': 0.43089074155331286, 'support': 2594}, 'weighted avg': {'precision': 0.5742751553918349, 'recall': 0.7571318427139553, 'f1-score': 0.6531466444825081, 'support': 2594}};{'-1': {'precision': 1.0, 'recall': 0.003179650238473768, 'f1-score': 0.006339144215530904, 'support': 629}, '1': {'precision': 0.7595858895705522, 'recall': 1.0, 'f1-score': 0.8633689256918718, 'support': 1981}, 'accuracy': 0.7597701149425288, 'macro avg': {'precision': 0.8797929447852761, 'recall': 0.5015898251192369, 'f1-score': 0.4348540349537014, 'support': 2610}, 'weighted avg': {'precision': 0.8175247690571892, 'recall': 0.7597701149425288, 'f1-score': 0.6568280319950832, 'support': 2610}};{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 627}, '1': {'precision': 0.7586605080831409, 'recall': 0.9964610717896866, 'f1-score': 0.861451048951049, 'support': 1978}, 'accuracy': 0.7566218809980806, 'macro avg': {'precision': 0.37933025404157045, 'recall': 0.4982305358948433, 'f1-score': 0.4307255244755245, 'support': 2605}, 'weighted avg': {'precision': 0.5760577677498859, 'recall': 0.7566218809980806, 'f1-score': 0.654107552715998, 'support': 2605}};{'-1': {'precision': 0.3333333333333333, 'recall': 0.0016051364365971107, 'f1-score': 0.003194888178913738, 'support': 623}, '1': {'precision': 0.76058506543495, 'recall': 0.9989888776541962, 'f1-score': 0.8636363636363636, 'support': 1978}, 'accuracy': 0.7600922722029988, 'macro avg': {'precision': 0.5469591993841416, 'recall': 0.5002970070453967, 'f1-score': 0.4334156259076387, 'support': 2601}, 'weighted avg': {'precision': 0.6582483375997685, 'recall': 0.7600922722029988, 'f1-score': 0.6575406161507845, 'support': 2601}};{'-1': {'precision': 0.3333333333333333, 'recall': 0.001594896331738437, 'f1-score': 0.0031746031746031746, 'support': 627}, '1': {'precision': 0.7591381300500193, 'recall': 0.9989873417721519, 'f1-score': 0.8627022299956274, 'support': 1975}, 'accuracy': 0.7586471944657955, 'macro avg': {'precision': 0.5462357316916763, 'recall': 0.5002911190519451, 'f1-score': 0.4329384165851153, 'support': 2602}, 'weighted avg': {'precision': 0.6565325929472667, 'recall': 0.7586471944657955, 'f1-score': 0.655583159274343, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.3, 'recall': 0.004777070063694267, 'f1-score': 0.009404388714733543, 'support': 628}, '1': {'precision': 0.7581269349845201, 'recall': 0.996439471007121, 'f1-score': 0.861098901098901, 'support': 1966}, 'accuracy': 0.756360832690825, 'macro avg': {'precision': 0.5290634674922601, 'recall': 0.5006082705354077, 'f1-score': 0.4352516449068173, 'support': 2594}, 'weighted avg': {'precision': 0.6472157109404651, 'recall': 0.756360832690825, 'f1-score': 0.6549060893112151, 'support': 2594}};{'-1': {'precision': 0.3, 'recall': 0.0047694753577106515, 'f1-score': 0.009389671361502348, 'support': 629}, '1': {'precision': 0.7592307692307693, 'recall': 0.9964664310954063, 'f1-score': 0.8618205631958087, 'support': 1981}, 'accuracy': 0.7574712643678161, 'macro avg': {'precision': 0.5296153846153846, 'recall': 0.5006179532265584, 'f1-score': 0.43560511727865553, 'support': 2610}, 'weighted avg': {'precision': 0.6485579133510169, 'recall': 0.7574712643678161, 'f1-score': 0.6563879842824835, 'support': 2610}};{'-1': {'precision': 0.14285714285714285, 'recall': 0.004784688995215311, 'f1-score': 0.009259259259259259, 'support': 627}, '1': {'precision': 0.7585139318885449, 'recall': 0.9908998988877654, 'f1-score': 0.8592722490135905, 'support': 1978}, 'accuracy': 0.7535508637236085, 'macro avg': {'precision': 0.4506855373728439, 'recall': 0.4978422939414904, 'f1-score': 0.4342657541364249, 'support': 2605}, 'weighted avg': {'precision': 0.6103308966782997, 'recall': 0.7535508637236085, 'f1-score': 0.6546817904431622, 'support': 2605}};{'-1': {'precision': 0.25, 'recall': 0.004815409309791332, 'f1-score': 0.009448818897637793, 'support': 623}, '1': {'precision': 0.7605252993433759, 'recall': 0.9954499494438828, 'f1-score': 0.8622728268009635, 'support': 1978}, 'accuracy': 0.7581699346405228, 'macro avg': {'precision': 0.5052626496716879, 'recall': 0.500132679376837, 'f1-score': 0.43586082284930067, 'support': 2601}, 'weighted avg': {'precision': 0.6382426151869272, 'recall': 0.7581699346405228, 'f1-score': 0.6580016399790597, 'support': 2601}};{'-1': {'precision': 0.11764705882352941, 'recall': 0.003189792663476874, 'f1-score': 0.006211180124223603, 'support': 627}, '1': {'precision': 0.758220502901354, 'recall': 0.9924050632911392, 'f1-score': 0.8596491228070176, 'support': 1975}, 'accuracy': 0.7540353574173713, 'macro avg': {'precision': 0.4379337808624417, 'recall': 0.497797427977308, 'f1-score': 0.4329301514656206, 'support': 2602}, 'weighted avg': {'precision': 0.6038624900509327, 'recall': 0.7540353574173713, 'f1-score': 0.653997474051402, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.17391304347826086, 'recall': 0.006369426751592357, 'f1-score': 0.01228878648233487, 'support': 628}, '1': {'precision': 0.7572928821470245, 'recall': 0.9903357070193286, 'f1-score': 0.8582763940930129, 'support': 1966}, 'accuracy': 0.7521202775636083, 'macro avg': {'precision': 0.4656029628126427, 'recall': 0.4983525668854605, 'f1-score': 0.4352825902876739, 'support': 2594}, 'weighted avg': {'precision': 0.6160582874346175, 'recall': 0.7521202775636083, 'f1-score': 0.6534652076706899, 'support': 2594}};{'-1': {'precision': 0.29411764705882354, 'recall': 0.00794912559618442, 'f1-score': 0.01547987616099071, 'support': 629}, '1': {'precision': 0.7593521018125723, 'recall': 0.993942453306411, 'f1-score': 0.8609532138172279, 'support': 1981}, 'accuracy': 0.7563218390804598, 'macro avg': {'precision': 0.5267348744356979, 'recall': 0.5009457894512976, 'f1-score': 0.4382165449891093, 'support': 2610}, 'weighted avg': {'precision': 0.6472323807244084, 'recall': 0.7563218390804598, 'f1-score': 0.6571973788035217, 'support': 2610}};{'-1': {'precision': 0.15384615384615385, 'recall': 0.009569377990430622, 'f1-score': 0.018018018018018018, 'support': 627}, '1': {'precision': 0.7579890880748247, 'recall': 0.9833164812942367, 'f1-score': 0.856073943661972, 'support': 1978}, 'accuracy': 0.7489443378119002, 'macro avg': {'precision': 0.45591762096048927, 'recall': 0.49644292964233366, 'f1-score': 0.437045980839995, 'support': 2605}, 'weighted avg': {'precision': 0.6125773338478088, 'recall': 0.7489443378119002, 'f1-score': 0.6543614425568821, 'support': 2605}};{'-1': {'precision': 0.11538461538461539, 'recall': 0.004815409309791332, 'f1-score': 0.009244992295839752, 'support': 623}, '1': {'precision': 0.7592233009708738, 'recall': 0.9883720930232558, 'f1-score': 0.8587744344388315, 'support': 1978}, 'accuracy': 0.7527873894655902, 'macro avg': {'precision': 0.4373039581777446, 'recall': 0.49659375116652354, 'f1-score': 0.4340097133673356, 'support': 2601}, 'weighted avg': {'precision': 0.6050089599019622, 'recall': 0.7527873894655902, 'f1-score': 0.6552923727490646, 'support': 2601}};{'-1': {'precision': 0.10344827586206896, 'recall': 0.004784688995215311, 'f1-score': 0.009146341463414634, 'support': 627}, '1': {'precision': 0.7574815390594637, 'recall': 0.9868354430379747, 'f1-score': 0.857080035180299, 'support': 1975}, 'accuracy': 0.7501921598770177, 'macro avg': {'precision': 0.4304649074607663, 'recall': 0.495810066016595, 'f1-score': 0.4331131883218568, 'support': 2602}, 'weighted avg': {'precision': 0.5998801339769246, 'recall': 0.7501921598770177, 'f1-score': 0.6527547369633556, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.2598870056497175, 'recall': 0.0732484076433121, 'f1-score': 0.1142857142857143, 'support': 628}, '1': {'precision': 0.7592056268100952, 'recall': 0.9333672431332655, 'f1-score': 0.837326032397901, 'support': 1966}, 'accuracy': 0.7251349267540478, 'macro avg': {'precision': 0.5095463162299063, 'recall': 0.5033078253882888, 'f1-score': 0.4758058733418077, 'support': 2594}, 'weighted avg': {'precision': 0.6383220130519158, 'recall': 0.7251349267540478, 'f1-score': 0.6622800340268704, 'support': 2594}};{'-1': {'precision': 0.19230769230769232, 'recall': 0.04769475357710652, 'f1-score': 0.07643312101910829, 'support': 629}, '1': {'precision': 0.7559087204563977, 'recall': 0.9363957597173145, 'f1-score': 0.8365276211950394, 'support': 1981}, 'accuracy': 0.7222222222222222, 'macro avg': {'precision': 0.474108206382045, 'recall': 0.4920452566472105, 'f1-score': 0.45648037110707385, 'support': 2610}, 'weighted avg': {'precision': 0.6200830320634722, 'recall': 0.7222222222222222, 'f1-score': 0.6533477588921043, 'support': 2610}};{'-1': {'precision': 0.2807017543859649, 'recall': 0.07655502392344497, 'f1-score': 0.12030075187969924, 'support': 627}, '1': {'precision': 0.7621199671322926, 'recall': 0.9378159757330637, 'f1-score': 0.8408884859474162, 'support': 1978}, 'accuracy': 0.7305182341650672, 'macro avg': {'precision': 0.5214108607591288, 'recall': 0.5071854998282543, 'f1-score': 0.4805946189135577, 'support': 2605}, 'weighted avg': {'precision': 0.6462469462524664, 'recall': 0.7305182341650672, 'f1-score': 0.6674495188608678, 'support': 2605}};{'-1': {'precision': 0.21301775147928995, 'recall': 0.05778491171749599, 'f1-score': 0.09090909090909093, 'support': 623}, '1': {'precision': 0.7586348684210527, 'recall': 0.9327603640040445, 'f1-score': 0.8367346938775511, 'support': 1978}, 'accuracy': 0.7231833910034602, 'macro avg': {'precision': 0.4858263099501713, 'recall': 0.49527263786077025, 'f1-score': 0.463821892393321, 'support': 2601}, 'weighted avg': {'precision': 0.627946877704129, 'recall': 0.7231833910034602, 'f1-score': 0.658092113850888, 'support': 2601}};{'-1': {'precision': 0.18518518518518517, 'recall': 0.03987240829346093, 'f1-score': 0.06561679790026247, 'support': 627}, '1': {'precision': 0.7559789217673287, 'recall': 0.9443037974683545, 'f1-score': 0.8397118415128322, 'support': 1975}, 'accuracy': 0.7263643351268255, 'macro avg': {'precision': 0.4705820534762569, 'recall': 0.4920881028809077, 'f1-score': 0.4526643197065473, 'support': 2602}, 'weighted avg': {'precision': 0.6184356193703249, 'recall': 0.7263643351268255, 'f1-score': 0.6531793310035773, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.25133689839572193, 'recall': 0.14968152866242038, 'f1-score': 0.187624750499002, 'support': 628}, '1': {'precision': 0.7594594594594595, 'recall': 0.8575788402848423, 'f1-score': 0.8055422838031534, 'support': 1966}, 'accuracy': 0.6861989205859677, 'macro avg': {'precision': 0.5053981789275908, 'recall': 0.5036301844736314, 'f1-score': 0.49658351715107774, 'support': 2594}, 'weighted avg': {'precision': 0.6364444369660025, 'recall': 0.6861989205859677, 'f1-score': 0.6559462117464815, 'support': 2594}};{'-1': {'precision': 0.21498371335504887, 'recall': 0.10492845786963434, 'f1-score': 0.14102564102564105, 'support': 629}, '1': {'precision': 0.7555362570560139, 'recall': 0.878344270570419, 'f1-score': 0.8123249299719889, 'support': 1981}, 'accuracy': 0.6919540229885057, 'macro avg': {'precision': 0.4852599852055314, 'recall': 0.49163636422002666, 'f1-score': 0.476675285498815, 'support': 2610}, 'weighted avg': {'precision': 0.6252651651066242, 'recall': 0.6919540229885057, 'f1-score': 0.6505443733638461, 'support': 2610}};{'-1': {'precision': 0.24355300859598855, 'recall': 0.13556618819776714, 'f1-score': 0.17418032786885246, 'support': 627}, '1': {'precision': 0.7597517730496454, 'recall': 0.8665318503538928, 'f1-score': 0.8096362777515351, 'support': 1978}, 'accuracy': 0.690595009596929, 'macro avg': {'precision': 0.501652390822817, 'recall': 0.50104901927583, 'f1-score': 0.4919083028101938, 'support': 2605}, 'weighted avg': {'precision': 0.6355073871331606, 'recall': 0.690595009596929, 'f1-score': 0.6566877631348588, 'support': 2605}};{'-1': {'precision': 0.25846153846153846, 'recall': 0.1348314606741573, 'f1-score': 0.17721518987341775, 'support': 623}, '1': {'precision': 0.7631810193321616, 'recall': 0.878159757330637, 'f1-score': 0.8166431593794077, 'support': 1978}, 'accuracy': 0.7001153402537486, 'macro avg': {'precision': 0.51082127889685, 'recall': 0.5064956090023971, 'f1-score': 0.49692917462641273, 'support': 2601}, 'weighted avg': {'precision': 0.6422889637449266, 'recall': 0.7001153402537486, 'f1-score': 0.6634852874062312, 'support': 2601}};{'-1': {'precision': 0.2564102564102564, 'recall': 0.12759170653907495, 'f1-score': 0.1703940362087327, 'support': 627}, '1': {'precision': 0.7611353711790393, 'recall': 0.8825316455696203, 'f1-score': 0.8173505275498241, 'support': 1975}, 'accuracy': 0.7006149116064566, 'macro avg': {'precision': 0.5087728137946479, 'recall': 0.5050616760543476, 'f1-score': 0.4938722818792784, 'support': 2602}, 'weighted avg': {'precision': 0.6395125245379836, 'recall': 0.7006149116064566, 'f1-score': 0.6614544014657101, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.25069637883008355, 'recall': 0.28662420382165604, 'f1-score': 0.2674591381872214, 'support': 628}, '1': {'precision': 0.7611940298507462, 'recall': 0.7263479145473042, 'f1-score': 0.7433628318584071, 'support': 1966}, 'accuracy': 0.6198920585967618, 'macro avg': {'precision': 0.5059452043404149, 'recall': 0.5064860591844801, 'f1-score': 0.5054109850228142, 'support': 2594}, 'weighted avg': {'precision': 0.637604004854225, 'recall': 0.6198920585967618, 'f1-score': 0.6281479052487291, 'support': 2594}};{'-1': {'precision': 0.24065040650406505, 'recall': 0.23529411764705882, 'f1-score': 0.2379421221864952, 'support': 629}, '1': {'precision': 0.7588972431077694, 'recall': 0.7642604745078243, 'f1-score': 0.761569416498994, 'support': 1981}, 'accuracy': 0.6367816091954023, 'macro avg': {'precision': 0.49977382480591725, 'recall': 0.4997772960774416, 'f1-score': 0.49975576934274457, 'support': 2610}, 'weighted avg': {'precision': 0.6340017411063403, 'recall': 0.6367816091954023, 'f1-score': 0.635377244804526, 'support': 2610}};{'-1': {'precision': 0.2564885496183206, 'recall': 0.2679425837320574, 'f1-score': 0.2620904836193448, 'support': 627}, '1': {'precision': 0.7646153846153846, 'recall': 0.7537917087967644, 'f1-score': 0.7591649694501017, 'support': 1978}, 'accuracy': 0.636852207293666, 'macro avg': {'precision': 0.5105519671168526, 'recall': 0.5108671462644109, 'f1-score': 0.5106277265347232, 'support': 2605}, 'weighted avg': {'precision': 0.642313839301312, 'recall': 0.636852207293666, 'f1-score': 0.6395236248758657, 'support': 2605}};{'-1': {'precision': 0.2555205047318612, 'recall': 0.26003210272873195, 'f1-score': 0.2577565632458234, 'support': 623}, '1': {'precision': 0.7656329435688867, 'recall': 0.7613751263902933, 'f1-score': 0.7634980988593156, 'support': 1978}, 'accuracy': 0.6412918108419838, 'macro avg': {'precision': 0.5105767241503739, 'recall': 0.5107036145595126, 'f1-score': 0.5106273310525695, 'support': 2601}, 'weighted avg': {'precision': 0.6434491491069617, 'recall': 0.6412918108419838, 'f1-score': 0.6423612373878794, 'support': 2601}};{'-1': {'precision': 0.25779967159277506, 'recall': 0.2503987240829346, 'f1-score': 0.25404530744336573, 'support': 627}, '1': {'precision': 0.7641746111389864, 'recall': 0.7711392405063291, 'f1-score': 0.767641129032258, 'support': 1975}, 'accuracy': 0.6456571867794004, 'macro avg': {'precision': 0.5109871413658807, 'recall': 0.5107689822946319, 'f1-score': 0.5108432182378119, 'support': 2602}, 'weighted avg': {'precision': 0.6421542087195113, 'recall': 0.6456571867794004, 'f1-score': 0.6438807216009608, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.254323499491353, 'recall': 0.3980891719745223, 'f1-score': 0.31036623215394166, 'support': 628}, '1': {'precision': 0.7653631284916201, 'recall': 0.6271617497456765, 'f1-score': 0.6894045289348617, 'support': 1966}, 'accuracy': 0.5717039321511179, 'macro avg': {'precision': 0.5098433139914866, 'recall': 0.5126254608600994, 'f1-score': 0.4998853805444017, 'support': 2594}, 'weighted avg': {'precision': 0.6416418921723573, 'recall': 0.5717039321511179, 'f1-score': 0.597640438580807, 'support': 2594}};{'-1': {'precision': 0.24153005464480876, 'recall': 0.35135135135135137, 'f1-score': 0.2862694300518135, 'support': 629}, '1': {'precision': 0.7592920353982301, 'recall': 0.6496718828874306, 'f1-score': 0.7002176278563655, 'support': 1981}, 'accuracy': 0.5777777777777777, 'macro avg': {'precision': 0.5004110450215195, 'recall': 0.500511617119391, 'f1-score': 0.4932435289540895, 'support': 2610}, 'weighted avg': {'precision': 0.6345133817990339, 'recall': 0.5777777777777777, 'f1-score': 0.6004576981938893, 'support': 2610}};{'-1': {'precision': 0.2579933847850055, 'recall': 0.37320574162679426, 'f1-score': 0.3050847457627119, 'support': 627}, '1': {'precision': 0.7685512367491166, 'recall': 0.659757330637007, 'f1-score': 0.7100108813928181, 'support': 1978}, 'accuracy': 0.5907869481765835, 'macro avg': {'precision': 0.513272310767061, 'recall': 0.5164815361319006, 'f1-score': 0.507547813577765, 'support': 2605}, 'weighted avg': {'precision': 0.6456645675815552, 'recall': 0.5907869481765835, 'f1-score': 0.6125488134311764, 'support': 2605}};{'-1': {'precision': 0.2502639915522703, 'recall': 0.38041733547351525, 'f1-score': 0.3019108280254777, 'support': 623}, '1': {'precision': 0.7666263603385731, 'recall': 0.641051567239636, 'f1-score': 0.698237885462555, 'support': 1978}, 'accuracy': 0.5786236063052672, 'macro avg': {'precision': 0.5084451759454217, 'recall': 0.5107344513565756, 'f1-score': 0.5000743567440163, 'support': 2601}, 'weighted avg': {'precision': 0.6429455622786475, 'recall': 0.5786236063052672, 'f1-score': 0.6033083365262616, 'support': 2601}};{'-1': {'precision': 0.2550335570469799, 'recall': 0.36363636363636365, 'f1-score': 0.2998027613412229, 'support': 627}, '1': {'precision': 0.7663934426229508, 'recall': 0.6627848101265823, 'f1-score': 0.7108335595981536, 'support': 1975}, 'accuracy': 0.5906994619523444, 'macro avg': {'precision': 0.5107134998349654, 'recall': 0.5132105868814729, 'f1-score': 0.5053181604696882, 'support': 2602}, 'weighted avg': {'precision': 0.6431718253069886, 'recall': 0.5906994619523444, 'f1-score': 0.6117880905331669, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.25674570727718726, 'recall': 0.5, 'f1-score': 0.3392760669908158, 'support': 628}, '1': {'precision': 0.7709700948212983, 'recall': 0.5376398779247202, 'f1-score': 0.6335031465388073, 'support': 1966}, 'accuracy': 0.5285273708558211, 'macro avg': {'precision': 0.5138579010492428, 'recall': 0.5188199389623601, 'f1-score': 0.4863896067648116, 'support': 2594}, 'weighted avg': {'precision': 0.6464778375438497, 'recall': 0.5285273708558211, 'f1-score': 0.5622716099327401, 'support': 2594}};{'-1': {'precision': 0.2463768115942029, 'recall': 0.4594594594594595, 'f1-score': 0.32075471698113206, 'support': 629}, '1': {'precision': 0.7633959638135004, 'recall': 0.5537607269056032, 'f1-score': 0.6418958455236982, 'support': 1981}, 'accuracy': 0.5310344827586206, 'macro avg': {'precision': 0.5048863877038516, 'recall': 0.5066100931825314, 'f1-score': 0.48132528125241514, 'support': 2610}, 'weighted avg': {'precision': 0.6387963290449417, 'recall': 0.5310344827586206, 'f1-score': 0.5645020639707196, 'support': 2610}};{'-1': {'precision': 0.2541528239202658, 'recall': 0.4880382775119617, 'f1-score': 0.3342435827416712, 'support': 627}, '1': {'precision': 0.7708779443254818, 'recall': 0.5460060667340748, 'f1-score': 0.63924237940219, 'support': 1978}, 'accuracy': 0.5320537428023032, 'macro avg': {'precision': 0.5125153841228738, 'recall': 0.5170221721230183, 'f1-score': 0.4867429810719306, 'support': 2605}, 'weighted avg': {'precision': 0.6465068692797734, 'recall': 0.5320537428023032, 'f1-score': 0.5658319204746871, 'support': 2605}};{'-1': {'precision': 0.25252525252525254, 'recall': 0.48154093097913325, 'f1-score': 0.33130866924351193, 'support': 623}, '1': {'precision': 0.7714083510261854, 'recall': 0.5510616784630941, 'f1-score': 0.6428782070185786, 'support': 1978}, 'accuracy': 0.5344098423683199, 'macro avg': {'precision': 0.511966801775719, 'recall': 0.5163013047211137, 'f1-score': 0.4870934381310452, 'support': 2601}, 'weighted avg': {'precision': 0.6471237795667155, 'recall': 0.5344098423683199, 'f1-score': 0.5682500555253581, 'support': 2601}};{'-1': {'precision': 0.25366695427092323, 'recall': 0.4688995215311005, 'f1-score': 0.3292273236282195, 'support': 627}, '1': {'precision': 0.7692307692307693, 'recall': 0.5620253164556962, 'f1-score': 0.649502633118783, 'support': 1975}, 'accuracy': 0.5395849346656418, 'macro avg': {'precision': 0.5114488617508463, 'recall': 0.5154624189933983, 'f1-score': 0.48936497837350124, 'support': 2602}, 'weighted avg': {'precision': 0.6449961374168479, 'recall': 0.5395849346656418, 'f1-score': 0.5723263767580669, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.25377229080932784, 'recall': 0.589171974522293, 'f1-score': 0.3547459252157239, 'support': 628}, '1': {'precision': 0.772887323943662, 'recall': 0.44659206510681587, 'f1-score': 0.56608639587363, 'support': 1966}, 'accuracy': 0.4811102544333076, 'macro avg': {'precision': 0.5133298073764949, 'recall': 0.5178820198145544, 'f1-score': 0.46041616054467693, 'support': 2594}, 'weighted avg': {'precision': 0.6472110553205465, 'recall': 0.4811102544333076, 'f1-score': 0.5149214708261493, 'support': 2594}};{'-1': {'precision': 0.25155065472088217, 'recall': 0.5802861685214626, 'f1-score': 0.35096153846153855, 'support': 629}, '1': {'precision': 0.7722174288179465, 'recall': 0.4517920242301868, 'f1-score': 0.5700636942675159, 'support': 1981}, 'accuracy': 0.4827586206896552, 'macro avg': {'precision': 0.5118840417694144, 'recall': 0.5160390963758247, 'f1-score': 0.4605126163645272, 'support': 2610}, 'weighted avg': {'precision': 0.6467387311524088, 'recall': 0.4827586206896552, 'f1-score': 0.5172609141901366, 'support': 2610}};{'-1': {'precision': 0.24965986394557824, 'recall': 0.5853269537480064, 'f1-score': 0.35002384358607536, 'support': 627}, '1': {'precision': 0.7709251101321586, 'recall': 0.442366026289181, 'f1-score': 0.56215868936717, 'support': 1978}, 'accuracy': 0.4767754318618042, 'macro avg': {'precision': 0.5102924870388684, 'recall': 0.5138464900185937, 'f1-score': 0.4560912664766227, 'support': 2605}, 'weighted avg': {'precision': 0.6454612677678646, 'recall': 0.4767754318618042, 'f1-score': 0.5110997456801272, 'support': 2605}};{'-1': {'precision': 0.24894810659186536, 'recall': 0.5698234349919743, 'f1-score': 0.34651049292337727, 'support': 623}, '1': {'precision': 0.7719148936170213, 'recall': 0.4585439838220425, 'f1-score': 0.575325087218522, 'support': 1978}, 'accuracy': 0.48519800076893504, 'macro avg': {'precision': 0.5104315001044433, 'recall': 0.5141837094070084, 'f1-score': 0.4609177900709497, 'support': 2601}, 'weighted avg': {'precision': 0.6466521837682431, 'recall': 0.48519800076893504, 'f1-score': 0.5205186695922724, 'support': 2601}};{'-1': {'precision': 0.25371024734982334, 'recall': 0.5725677830940988, 'f1-score': 0.35161606268364354, 'support': 627}, '1': {'precision': 0.7742207245155855, 'recall': 0.46531645569620256, 'f1-score': 0.5812776723592664, 'support': 1975}, 'accuracy': 0.49116064565718676, 'macro avg': {'precision': 0.5139654859327044, 'recall': 0.5189421193951507, 'f1-score': 0.466446867521455, 'support': 2602}, 'weighted avg': {'precision': 0.6487941030002385, 'recall': 0.49116064565718676, 'f1-score': 0.5259364620338953, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.24851720047449585, 'recall': 0.6671974522292994, 'f1-score': 0.36214347450302503, 'support': 628}, '1': {'precision': 0.7698237885462555, 'recall': 0.3555442522889115, 'f1-score': 0.48643006263048016, 'support': 1966}, 'accuracy': 0.4309946029298381, 'macro avg': {'precision': 0.5091704945103757, 'recall': 0.5113708522591054, 'f1-score': 0.4242867685667526, 'support': 2594}, 'weighted avg': {'precision': 0.6436169507247193, 'recall': 0.4309946029298381, 'f1-score': 0.45634063420178245, 'support': 2594}};{'-1': {'precision': 0.2488558352402746, 'recall': 0.6915739268680445, 'f1-score': 0.366007572570467, 'support': 629}, '1': {'precision': 0.7749419953596288, 'recall': 0.337203432609793, 'f1-score': 0.46992613436510733, 'support': 1981}, 'accuracy': 0.42260536398467435, 'macro avg': {'precision': 0.5118989152999517, 'recall': 0.5143886797389188, 'f1-score': 0.41796685346778717, 'support': 2610}, 'weighted avg': {'precision': 0.6481572464266503, 'recall': 0.42260536398467435, 'f1-score': 0.4448821591280082, 'support': 2610}};{'-1': {'precision': 0.24812463935372187, 'recall': 0.6858054226475279, 'f1-score': 0.364406779661017, 'support': 627}, '1': {'precision': 0.7740825688073395, 'recall': 0.34125379170879677, 'f1-score': 0.4736842105263159, 'support': 1978}, 'accuracy': 0.42418426103646834, 'macro avg': {'precision': 0.5111036040805307, 'recall': 0.5135296071781623, 'f1-score': 0.4190454950936664, 'support': 2605}, 'weighted avg': {'precision': 0.6474892399138967, 'recall': 0.42418426103646834, 'f1-score': 0.4473821187211172, 'support': 2605}};{'-1': {'precision': 0.2494019138755981, 'recall': 0.6693418940609952, 'f1-score': 0.3633986928104575, 'support': 623}, '1': {'precision': 0.7782561894510226, 'recall': 0.365520728008089, 'f1-score': 0.4974200206398348, 'support': 1978}, 'accuracy': 0.43829296424452135, 'macro avg': {'precision': 0.5138290516633104, 'recall': 0.5174313110345421, 'f1-score': 0.43040935672514613, 'support': 2601}, 'weighted avg': {'precision': 0.6515832891497964, 'recall': 0.43829296424452135, 'f1-score': 0.4653187952504838, 'support': 2601}};{'-1': {'precision': 0.2437574316290131, 'recall': 0.6539074960127592, 'f1-score': 0.35513209181463834, 'support': 627}, '1': {'precision': 0.7641304347826087, 'recall': 0.3559493670886076, 'f1-score': 0.48566493955094997, 'support': 1975}, 'accuracy': 0.4277478862413528, 'macro avg': {'precision': 0.5039439332058109, 'recall': 0.5049284315506835, 'f1-score': 0.4203985156827942, 'support': 2602}, 'weighted avg': {'precision': 0.6387369401718075, 'recall': 0.4277478862413528, 'f1-score': 0.45421063688735763, 'support': 2602}}
