Parameters;fold1;fold2;fold3;fold4;fold5
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.3333333333333333, 'recall': 0.0015923566878980893, 'f1-score': 0.003169572107765452, 'support': 628}, '1': {'precision': 0.7580084909301428, 'recall': 0.9989827060020345, 'f1-score': 0.8619705946894886, 'support': 1966}, 'accuracy': 0.7575173477255205, 'macro avg': {'precision': 0.545670912131738, 'recall': 0.5002875313449663, 'f1-score': 0.432570083398627, 'support': 2594}, 'weighted avg': {'precision': 0.6551958467625266, 'recall': 0.7575173477255205, 'f1-score': 0.6540573170559797, 'support': 2594}};{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 629}, '1': {'precision': 0.758819018404908, 'recall': 0.9989904088844018, 'f1-score': 0.8624972760950099, 'support': 1981}, 'accuracy': 0.7582375478927204, 'macro avg': {'precision': 0.379409509202454, 'recall': 0.4994952044422009, 'f1-score': 0.43124863804750496, 'support': 2610}, 'weighted avg': {'precision': 0.575946542321886, 'recall': 0.7582375478927204, 'f1-score': 0.6546387371433773, 'support': 2610}};{'-1': {'precision': 0.2, 'recall': 0.001594896331738437, 'f1-score': 0.003164556962025317, 'support': 627}, '1': {'precision': 0.7592307692307693, 'recall': 0.9979777553083923, 'f1-score': 0.8623853211009174, 'support': 1978}, 'accuracy': 0.7581573896353166, 'macro avg': {'precision': 0.47961538461538467, 'recall': 0.4997863258200654, 'f1-score': 0.43277493903147135, 'support': 2605}, 'weighted avg': {'precision': 0.6246289679610217, 'recall': 0.7581573896353166, 'f1-score': 0.6555786343005008, 'support': 2605}};{'-1': {'precision': 0.2, 'recall': 0.0016051364365971107, 'f1-score': 0.0031847133757961785, 'support': 623}, '1': {'precision': 0.7604006163328197, 'recall': 0.9979777553083923, 'f1-score': 0.8631394840402273, 'support': 1978}, 'accuracy': 0.7593233371780085, 'macro avg': {'precision': 0.4802003081664099, 'recall': 0.4997914458724947, 'f1-score': 0.43316209870801176, 'support': 2601}, 'weighted avg': {'precision': 0.6261716336433362, 'recall': 0.7593233371780085, 'f1-score': 0.6571603136734682, 'support': 2601}};{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 627}, '1': {'precision': 0.7587533666794921, 'recall': 0.9984810126582279, 'f1-score': 0.8622649759510277, 'support': 1975}, 'accuracy': 0.7578785549577248, 'macro avg': {'precision': 0.37937668333974606, 'recall': 0.49924050632911393, 'f1-score': 0.43113248797551385, 'support': 2602}, 'weighted avg': {'precision': 0.5759177168301295, 'recall': 0.7578785549577248, 'f1-score': 0.6544862903548346, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.3, 'recall': 0.004777070063694267, 'f1-score': 0.009404388714733543, 'support': 628}, '1': {'precision': 0.7581269349845201, 'recall': 0.996439471007121, 'f1-score': 0.861098901098901, 'support': 1966}, 'accuracy': 0.756360832690825, 'macro avg': {'precision': 0.5290634674922601, 'recall': 0.5006082705354077, 'f1-score': 0.4352516449068173, 'support': 2594}, 'weighted avg': {'precision': 0.6472157109404651, 'recall': 0.756360832690825, 'f1-score': 0.6549060893112151, 'support': 2594}};{'-1': {'precision': 0.2, 'recall': 0.003179650238473768, 'f1-score': 0.006259780907668232, 'support': 629}, '1': {'precision': 0.7588461538461538, 'recall': 0.9959616355376073, 'f1-score': 0.8613839772975334, 'support': 1981}, 'accuracy': 0.7567049808429118, 'macro avg': {'precision': 0.47942307692307695, 'recall': 0.49957064288804054, 'f1-score': 0.4338218791026008, 'support': 2610}, 'weighted avg': {'precision': 0.624166371942234, 'recall': 0.7567049808429118, 'f1-score': 0.6553023223054931, 'support': 2610}};{'-1': {'precision': 0.125, 'recall': 0.003189792663476874, 'f1-score': 0.006220839813374806, 'support': 627}, '1': {'precision': 0.7585940517574353, 'recall': 0.9929221435793731, 'f1-score': 0.8600832056054303, 'support': 1978}, 'accuracy': 0.7547024952015355, 'macro avg': {'precision': 0.44179702587871766, 'recall': 0.498055968121425, 'f1-score': 0.43315202270940256, 'support': 2605}, 'weighted avg': {'precision': 0.6060936792231122, 'recall': 0.7547024952015355, 'f1-score': 0.6545662369483789, 'support': 2605}};{'-1': {'precision': 0.05555555555555555, 'recall': 0.0016051364365971107, 'f1-score': 0.0031201248049921994, 'support': 623}, '1': {'precision': 0.759194734804491, 'recall': 0.9914054600606673, 'f1-score': 0.8598991449243588, 'support': 1978}, 'accuracy': 0.754325259515571, 'macro avg': {'precision': 0.40737514518002327, 'recall': 0.4965052982486322, 'f1-score': 0.43150963486467553, 'support': 2601}, 'weighted avg': {'precision': 0.5906567845268721, 'recall': 0.754325259515571, 'f1-score': 0.6546806406820038, 'support': 2601}};{'-1': {'precision': 0.17647058823529413, 'recall': 0.004784688995215311, 'f1-score': 0.009316770186335404, 'support': 627}, '1': {'precision': 0.7586073500967118, 'recall': 0.9929113924050633, 'f1-score': 0.8600877192982457, 'support': 1975}, 'accuracy': 0.754803996925442, 'macro avg': {'precision': 0.46753896916600296, 'recall': 0.49884804070013933, 'f1-score': 0.4347022447422905, 'support': 2602}, 'weighted avg': {'precision': 0.618330736073995, 'recall': 0.754803996925442, 'f1-score': 0.6550787319449914, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.3333333333333333, 'recall': 0.011146496815286623, 'f1-score': 0.021571648690292756, 'support': 628}, '1': {'precision': 0.7586474931986008, 'recall': 0.9928789420142421, 'f1-score': 0.8601013439083498, 'support': 1966}, 'accuracy': 0.7552043176561295, 'macro avg': {'precision': 0.5459904132659671, 'recall': 0.5020127194147643, 'f1-score': 0.44083649629932126, 'support': 2594}, 'weighted avg': {'precision': 0.6556801484046964, 'recall': 0.7552043176561295, 'f1-score': 0.6570956968008171, 'support': 2594}};{'-1': {'precision': 0.25, 'recall': 0.00794912559618442, 'f1-score': 0.015408320493066254, 'support': 629}, '1': {'precision': 0.759073359073359, 'recall': 0.9924280666330136, 'f1-score': 0.8602056442791511, 'support': 1981}, 'accuracy': 0.7551724137931034, 'macro avg': {'precision': 0.5045366795366795, 'recall': 0.500188596114599, 'f1-score': 0.4378069823861087, 'support': 2610}, 'weighted avg': {'precision': 0.6363886300093197, 'recall': 0.7551724137931034, 'f1-score': 0.6566127260180602, 'support': 2610}};{'-1': {'precision': 0.2, 'recall': 0.012759170653907496, 'f1-score': 0.023988005997001502, 'support': 627}, '1': {'precision': 0.7586744639376218, 'recall': 0.9838220424671386, 'f1-score': 0.8567026194144838, 'support': 1978}, 'accuracy': 0.7500959692898272, 'macro avg': {'precision': 0.47933723196881095, 'recall': 0.49829060656052304, 'f1-score': 0.4403453127057426, 'support': 2605}, 'weighted avg': {'precision': 0.6242065603334419, 'recall': 0.7500959692898272, 'f1-score': 0.6562757239777232, 'support': 2605}};{'-1': {'precision': 0.07317073170731707, 'recall': 0.004815409309791332, 'f1-score': 0.009036144578313253, 'support': 623}, '1': {'precision': 0.7578125, 'recall': 0.980788675429727, 'f1-score': 0.8550022036139269, 'support': 1978}, 'accuracy': 0.7470203767781622, 'macro avg': {'precision': 0.4154916158536585, 'recall': 0.49280204236975916, 'f1-score': 0.43201917409612006, 'support': 2601}, 'weighted avg': {'precision': 0.5938248715315873, 'recall': 0.7470203767781622, 'f1-score': 0.6523736550636818, 'support': 2601}};{'-1': {'precision': 0.3225806451612903, 'recall': 0.01594896331738437, 'f1-score': 0.0303951367781155, 'support': 627}, '1': {'precision': 0.7600155581485804, 'recall': 0.9893670886075949, 'f1-score': 0.8596568411790586, 'support': 1975}, 'accuracy': 0.754803996925442, 'macro avg': {'precision': 0.5412981016549353, 'recall': 0.5026580259624897, 'f1-score': 0.44502598897858703, 'support': 2602}, 'weighted avg': {'precision': 0.6546075295386531, 'recall': 0.754803996925442, 'f1-score': 0.6598309039540812, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.26490066225165565, 'recall': 0.06369426751592357, 'f1-score': 0.10269576379974325, 'support': 628}, '1': {'precision': 0.7593123209169055, 'recall': 0.9435401831129197, 'f1-score': 0.8414606486731686, 'support': 1966}, 'accuracy': 0.7305319969159599, 'macro avg': {'precision': 0.5121064915842806, 'recall': 0.5036172253144217, 'f1-score': 0.4720782062364559, 'support': 2594}, 'weighted avg': {'precision': 0.6396166687805227, 'recall': 0.7305319969159599, 'f1-score': 0.6626077775472969, 'support': 2594}};{'-1': {'precision': 0.21678321678321677, 'recall': 0.0492845786963434, 'f1-score': 0.08031088082901554, 'support': 629}, '1': {'precision': 0.7576003242805026, 'recall': 0.9434628975265018, 'f1-score': 0.8403776978417267, 'support': 1981}, 'accuracy': 0.7279693486590039, 'macro avg': {'precision': 0.4871917705318597, 'recall': 0.4963737381114226, 'f1-score': 0.4603442893353711, 'support': 2610}, 'weighted avg': {'precision': 0.6272654734698541, 'recall': 0.7279693486590039, 'f1-score': 0.6572045070750618, 'support': 2610}};{'-1': {'precision': 0.2980769230769231, 'recall': 0.09888357256778309, 'f1-score': 0.14850299401197606, 'support': 627}, '1': {'precision': 0.7642886942010847, 'recall': 0.9261880687563195, 'f1-score': 0.8374857142857144, 'support': 1978}, 'accuracy': 0.727063339731286, 'macro avg': {'precision': 0.5311828086390039, 'recall': 0.5125358206620513, 'f1-score': 0.49299435414884524, 'support': 2605}, 'weighted avg': {'precision': 0.6520757266406818, 'recall': 0.727063339731286, 'f1-score': 0.6716537889069681, 'support': 2605}};{'-1': {'precision': 0.2268041237113402, 'recall': 0.07062600321027288, 'f1-score': 0.10771113831089352, 'support': 623}, '1': {'precision': 0.7594515995014541, 'recall': 0.9241658240647118, 'f1-score': 0.8337514253135689, 'support': 1978}, 'accuracy': 0.7197231833910035, 'macro avg': {'precision': 0.49312786160639716, 'recall': 0.49739591363749236, 'f1-score': 0.47073128181223123, 'support': 2601}, 'weighted avg': {'precision': 0.6318701395178935, 'recall': 0.7197231833910035, 'f1-score': 0.6598478886727898, 'support': 2601}};{'-1': {'precision': 0.2275449101796407, 'recall': 0.06060606060606061, 'f1-score': 0.09571788413098238, 'support': 627}, '1': {'precision': 0.7581108829568789, 'recall': 0.9346835443037975, 'f1-score': 0.8371882086167801, 'support': 1975}, 'accuracy': 0.7240584166026134, 'macro avg': {'precision': 0.4928278965682598, 'recall': 0.49764480245492904, 'f1-score': 0.46645304637388124, 'support': 2602}, 'weighted avg': {'precision': 0.6302612038902653, 'recall': 0.7240584166026134, 'f1-score': 0.6585172272745068, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.2797427652733119, 'recall': 0.13853503184713375, 'f1-score': 0.1853035143769968, 'support': 628}, '1': {'precision': 0.7630310994305738, 'recall': 0.8860630722278738, 'f1-score': 0.8199576370910802, 'support': 1966}, 'accuracy': 0.70508866615266, 'macro avg': {'precision': 0.5213869323519429, 'recall': 0.5122990520375038, 'f1-score': 0.5026305757340385, 'support': 2594}, 'weighted avg': {'precision': 0.6460283724256545, 'recall': 0.70508866615266, 'f1-score': 0.666309684483353, 'support': 2594}};{'-1': {'precision': 0.23776223776223776, 'recall': 0.10810810810810811, 'f1-score': 0.14863387978142076, 'support': 629}, '1': {'precision': 0.7586058519793459, 'recall': 0.889954568399798, 'f1-score': 0.819047619047619, 'support': 1981}, 'accuracy': 0.7015325670498084, 'macro avg': {'precision': 0.4981840448707918, 'recall': 0.49903133825395307, 'f1-score': 0.4838407494145199, 'support': 2610}, 'weighted avg': {'precision': 0.633084536522426, 'recall': 0.7015325670498084, 'f1-score': 0.6574804765194816, 'support': 2610}};{'-1': {'precision': 0.28133704735376047, 'recall': 0.16108452950558214, 'f1-score': 0.20486815415821502, 'support': 627}, '1': {'precision': 0.7658058771148709, 'recall': 0.8695652173913043, 'f1-score': 0.8143939393939393, 'support': 1978}, 'accuracy': 0.6990403071017275, 'macro avg': {'precision': 0.5235714622343157, 'recall': 0.5153248734484432, 'f1-score': 0.5096310467760772, 'support': 2605}, 'weighted avg': {'precision': 0.649198600239548, 'recall': 0.6990403071017275, 'f1-score': 0.6676865814888341, 'support': 2605}};{'-1': {'precision': 0.23098591549295774, 'recall': 0.13162118780096307, 'f1-score': 0.16768916155419222, 'support': 623}, '1': {'precision': 0.7591273374888691, 'recall': 0.8619817997977756, 'f1-score': 0.8072916666666666, 'support': 1978}, 'accuracy': 0.687043444828912, 'macro avg': {'precision': 0.4950566264909134, 'recall': 0.49680149379936933, 'f1-score': 0.4874904141104294, 'support': 2601}, 'weighted avg': {'precision': 0.6326251822011133, 'recall': 0.687043444828912, 'f1-score': 0.6540919893559893, 'support': 2601}};{'-1': {'precision': 0.2433234421364985, 'recall': 0.13078149920255183, 'f1-score': 0.1701244813278008, 'support': 627}, '1': {'precision': 0.7593818984547461, 'recall': 0.8708860759493671, 'f1-score': 0.8113207547169811, 'support': 1975}, 'accuracy': 0.6925441967717141, 'macro avg': {'precision': 0.5013526702956224, 'recall': 0.5008337875759594, 'f1-score': 0.4907226180223909, 'support': 2602}, 'weighted avg': {'precision': 0.6350280736616865, 'recall': 0.6925441967717141, 'f1-score': 0.656812659630503, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.2504145936981758, 'recall': 0.24044585987261147, 'f1-score': 0.24532900081234768, 'support': 628}, '1': {'precision': 0.7604218985434456, 'recall': 0.7700915564598169, 'f1-score': 0.765226181450594, 'support': 1966}, 'accuracy': 0.6418658442559754, 'macro avg': {'precision': 0.5054182461208107, 'recall': 0.5052687081662142, 'f1-score': 0.5052775911314709, 'support': 2594}, 'weighted avg': {'precision': 0.6369505849571582, 'recall': 0.6418658442559754, 'f1-score': 0.6393605571480424, 'support': 2594}};{'-1': {'precision': 0.23407917383820998, 'recall': 0.21621621621621623, 'f1-score': 0.22479338842975205, 'support': 629}, '1': {'precision': 0.7570231641202563, 'recall': 0.7753659767794043, 'f1-score': 0.7660847880299251, 'support': 1981}, 'accuracy': 0.6406130268199234, 'macro avg': {'precision': 0.4955511689792331, 'recall': 0.4957910964978103, 'f1-score': 0.49543908822983856, 'support': 2610}, 'weighted avg': {'precision': 0.6309956660791042, 'recall': 0.6406130268199234, 'f1-score': 0.6356356346396917, 'support': 2610}};{'-1': {'precision': 0.2642089093701997, 'recall': 0.2743221690590112, 'f1-score': 0.26917057902973396, 'support': 627}, '1': {'precision': 0.7671443193449334, 'recall': 0.7578361981799798, 'f1-score': 0.7624618514750762, 'support': 1978}, 'accuracy': 0.6414587332053743, 'macro avg': {'precision': 0.5156766143575666, 'recall': 0.5160791836194956, 'f1-score': 0.5158162152524051, 'support': 2605}, 'weighted avg': {'precision': 0.6460923032013026, 'recall': 0.6414587332053743, 'f1-score': 0.6437310922339131, 'support': 2605}};{'-1': {'precision': 0.25801749271137026, 'recall': 0.2841091492776886, 'f1-score': 0.2704354469060351, 'support': 623}, '1': {'precision': 0.7671018276762402, 'recall': 0.7426693629929222, 'f1-score': 0.754687901361418, 'support': 1978}, 'accuracy': 0.6328335255670896, 'macro avg': {'precision': 0.5125596601938053, 'recall': 0.5133892561353054, 'f1-score': 0.5125616741337266, 'support': 2601}, 'weighted avg': {'precision': 0.645164288005685, 'recall': 0.6328335255670896, 'f1-score': 0.6386981746694904, 'support': 2601}};{'-1': {'precision': 0.2448, 'recall': 0.24401913875598086, 'f1-score': 0.24440894568690097, 'support': 627}, '1': {'precision': 0.7602427921092565, 'recall': 0.7610126582278481, 'f1-score': 0.7606275303643726, 'support': 1975}, 'accuracy': 0.6364335126825519, 'macro avg': {'precision': 0.5025213960546282, 'recall': 0.5025158984919145, 'f1-score': 0.5025182380256368, 'support': 2602}, 'weighted avg': {'precision': 0.6360373229883864, 'recall': 0.6364335126825519, 'f1-score': 0.6362351196830602, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.2633979475484607, 'recall': 0.3678343949044586, 'f1-score': 0.3069767441860465, 'support': 628}, '1': {'precision': 0.7687827606290041, 'recall': 0.671414038657172, 'f1-score': 0.716806950855281, 'support': 1966}, 'accuracy': 0.5979182729375482, 'macro avg': {'precision': 0.5160903540887324, 'recall': 0.5196242167808153, 'f1-score': 0.5118918475206637, 'support': 2594}, 'weighted avg': {'precision': 0.6464305391122033, 'recall': 0.5979182729375482, 'f1-score': 0.6175882269584886, 'support': 2594}};{'-1': {'precision': 0.24324324324324326, 'recall': 0.32909379968203495, 'f1-score': 0.27972972972972976, 'support': 629}, '1': {'precision': 0.7600909607731666, 'recall': 0.6749116607773852, 'f1-score': 0.7149732620320857, 'support': 1981}, 'accuracy': 0.5915708812260536, 'macro avg': {'precision': 0.501667102008205, 'recall': 0.5020027302297101, 'f1-score': 0.4973514958809077, 'support': 2610}, 'weighted avg': {'precision': 0.6355326411079092, 'recall': 0.5915708812260536, 'f1-score': 0.6100812383469585, 'support': 2610}};{'-1': {'precision': 0.2625, 'recall': 0.4019138755980861, 'f1-score': 0.31758034026465026, 'support': 627}, '1': {'precision': 0.7720364741641338, 'recall': 0.6420626895854399, 'f1-score': 0.7010764559757108, 'support': 1978}, 'accuracy': 0.5842610364683302, 'macro avg': {'precision': 0.5172682370820669, 'recall': 0.521988282591763, 'f1-score': 0.5093283981201805, 'support': 2605}, 'weighted avg': {'precision': 0.6493956414190621, 'recall': 0.5842610364683302, 'f1-score': 0.6087724004859468, 'support': 2605}};{'-1': {'precision': 0.26359832635983266, 'recall': 0.4044943820224719, 'f1-score': 0.31918936035465484, 'support': 623}, '1': {'precision': 0.774468085106383, 'recall': 0.6440849342770475, 'f1-score': 0.7032845707976814, 'support': 1978}, 'accuracy': 0.5866974240676662, 'macro avg': {'precision': 0.5190332057331078, 'recall': 0.5242896581497597, 'f1-score': 0.5112369655761682, 'support': 2601}, 'weighted avg': {'precision': 0.6521028949106502, 'recall': 0.5866974240676662, 'f1-score': 0.6112848337327043, 'support': 2601}};{'-1': {'precision': 0.24918743228602383, 'recall': 0.3668261562998405, 'f1-score': 0.29677419354838713, 'support': 627}, '1': {'precision': 0.7635497319833234, 'recall': 0.649113924050633, 'f1-score': 0.701696770662288, 'support': 1975}, 'accuracy': 0.5810914681014604, 'macro avg': {'precision': 0.5063685821346736, 'recall': 0.5079700401752367, 'f1-score': 0.4992354821053375, 'support': 2602}, 'weighted avg': {'precision': 0.6396046274828597, 'recall': 0.5810914681014604, 'f1-score': 0.6041231903969475, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.26550218340611353, 'recall': 0.4840764331210191, 'f1-score': 0.34292160180485054, 'support': 628}, '1': {'precision': 0.7763975155279503, 'recall': 0.5722278738555443, 'f1-score': 0.6588579795021963, 'support': 1966}, 'accuracy': 0.5508866615265998, 'macro avg': {'precision': 0.5209498494670319, 'recall': 0.5281521534882817, 'f1-score': 0.5008897906535235, 'support': 2594}, 'weighted avg': {'precision': 0.6527112130713144, 'recall': 0.5508866615265998, 'f1-score': 0.5823706837450902, 'support': 2594}};{'-1': {'precision': 0.24544666088464875, 'recall': 0.44992050874403816, 'f1-score': 0.3176206509539843, 'support': 629}, '1': {'precision': 0.762525737817433, 'recall': 0.5608278647147905, 'f1-score': 0.64630599185573, 'support': 1981}, 'accuracy': 0.5340996168582376, 'macro avg': {'precision': 0.5039861993510409, 'recall': 0.5053741867294144, 'f1-score': 0.48196332140485715, 'support': 2610}, 'weighted avg': {'precision': 0.6379116614225205, 'recall': 0.5340996168582376, 'f1-score': 0.5670940840292173, 'support': 2610}};{'-1': {'precision': 0.2487603305785124, 'recall': 0.4800637958532695, 'f1-score': 0.3277082199237888, 'support': 627}, '1': {'precision': 0.7663082437275985, 'recall': 0.5404448938321537, 'f1-score': 0.6338571005040023, 'support': 1978}, 'accuracy': 0.525911708253359, 'macro avg': {'precision': 0.5075342871530555, 'recall': 0.5102543448427116, 'f1-score': 0.4807826602138956, 'support': 2605}, 'weighted avg': {'precision': 0.6417391298909471, 'recall': 0.525911708253359, 'f1-score': 0.5601698267520661, 'support': 2605}};{'-1': {'precision': 0.2737015663643858, 'recall': 0.5329052969502408, 'f1-score': 0.3616557734204793, 'support': 623}, '1': {'precision': 0.7903458213256485, 'recall': 0.5546006066734075, 'f1-score': 0.6518122400475341, 'support': 1978}, 'accuracy': 0.5494040753556324, 'macro avg': {'precision': 0.5320236938450171, 'recall': 0.5437529518118241, 'f1-score': 0.5067340067340067, 'support': 2601}, 'weighted avg': {'precision': 0.6665975049700673, 'recall': 0.5494040753556324, 'f1-score': 0.5823130171683895, 'support': 2601}};{'-1': {'precision': 0.2569037656903766, 'recall': 0.48963317384370014, 'f1-score': 0.33699231613611413, 'support': 627}, '1': {'precision': 0.7725657427149965, 'recall': 0.550379746835443, 'f1-score': 0.6428149024246008, 'support': 1975}, 'accuracy': 0.5357417371252883, 'macro avg': {'precision': 0.5147347542026866, 'recall': 0.5200064603395715, 'f1-score': 0.4899036092803575, 'support': 2602}, 'weighted avg': {'precision': 0.6483074569369655, 'recall': 0.5357417371252883, 'f1-score': 0.569121296889289, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.26330731014904185, 'recall': 0.5907643312101911, 'f1-score': 0.3642611683848797, 'support': 628}, '1': {'precision': 0.7831223628691983, 'recall': 0.47202441505595116, 'f1-score': 0.5890193589336719, 'support': 1966}, 'accuracy': 0.5007710100231303, 'macro avg': {'precision': 0.52321483650912, 'recall': 0.5313943731330711, 'f1-score': 0.4766402636592758, 'support': 2594}, 'weighted avg': {'precision': 0.6572766215013269, 'recall': 0.5007710100231303, 'f1-score': 0.5346060421778347, 'support': 2594}};{'-1': {'precision': 0.24412811387900357, 'recall': 0.5453100158982512, 'f1-score': 0.33726647000983284, 'support': 629}, '1': {'precision': 0.762655601659751, 'recall': 0.463907117617365, 'f1-score': 0.5768989328311362, 'support': 1981}, 'accuracy': 0.4835249042145594, 'macro avg': {'precision': 0.5033918577693772, 'recall': 0.5046085667578081, 'f1-score': 0.45708270142048457, 'support': 2610}, 'weighted avg': {'precision': 0.6376924637999464, 'recall': 0.4835249042145594, 'f1-score': 0.5191484274232435, 'support': 2610}};{'-1': {'precision': 0.25100401606425704, 'recall': 0.5980861244019139, 'f1-score': 0.3536067892503536, 'support': 627}, '1': {'precision': 0.7731773177317732, 'recall': 0.43427704752275026, 'f1-score': 0.5561670443509226, 'support': 1978}, 'accuracy': 0.47370441458733203, 'macro avg': {'precision': 0.5120906668980152, 'recall': 0.5161815859623321, 'f1-score': 0.4548869168006381, 'support': 2605}, 'weighted avg': {'precision': 0.6474949146048893, 'recall': 0.47370441458733203, 'f1-score': 0.5074126182672156, 'support': 2605}};{'-1': {'precision': 0.2604523646333105, 'recall': 0.6099518459069021, 'f1-score': 0.36503362151777147, 'support': 623}, '1': {'precision': 0.787215411558669, 'recall': 0.4544994944388271, 'f1-score': 0.5762820512820512, 'support': 1978}, 'accuracy': 0.4917339484813533, 'macro avg': {'precision': 0.5238338880959897, 'recall': 0.5322256701728646, 'f1-score': 0.4706578363999113, 'support': 2601}, 'weighted avg': {'precision': 0.661043409161707, 'recall': 0.4917339484813533, 'f1-score': 0.5256831386549284, 'support': 2601}};{'-1': {'precision': 0.2583102493074792, 'recall': 0.594896331738437, 'f1-score': 0.3602124577498793, 'support': 627}, '1': {'precision': 0.7806563039723662, 'recall': 0.45772151898734176, 'f1-score': 0.5770826683689754, 'support': 1975}, 'accuracy': 0.4907763259031514, 'macro avg': {'precision': 0.5194832766399227, 'recall': 0.5263089253628894, 'f1-score': 0.46864756305942734, 'support': 2602}, 'weighted avg': {'precision': 0.6547873661265229, 'recall': 0.4907763259031514, 'f1-score': 0.5248237821052655, 'support': 2602}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.25899705014749264, 'recall': 0.6990445859872612, 'f1-score': 0.3779595350839432, 'support': 628}, '1': {'precision': 0.7897664071190211, 'recall': 0.3611393692777213, 'f1-score': 0.49563699825479934, 'support': 1966}, 'accuracy': 0.44294525828835773, 'macro avg': {'precision': 0.5243817286332568, 'recall': 0.5300919776324913, 'f1-score': 0.43679826666937127, 'support': 2594}, 'weighted avg': {'precision': 0.6612686599416426, 'recall': 0.44294525828835773, 'f1-score': 0.4671476201239984, 'support': 2594}};{'-1': {'precision': 0.2476303317535545, 'recall': 0.6645468998410174, 'f1-score': 0.36081139404402246, 'support': 629}, '1': {'precision': 0.7711496746203904, 'recall': 0.358909641595154, 'f1-score': 0.4898380985187737, 'support': 1981}, 'accuracy': 0.43256704980842914, 'macro avg': {'precision': 0.5093900031869725, 'recall': 0.5117282707180857, 'f1-score': 0.42532474628139805, 'support': 2610}, 'weighted avg': {'precision': 0.64498351881072, 'recall': 0.43256704980842914, 'f1-score': 0.4587431570955482, 'support': 2610}};{'-1': {'precision': 0.2518775274407857, 'recall': 0.6953748006379585, 'f1-score': 0.36980491942324006, 'support': 627}, '1': {'precision': 0.7814645308924485, 'recall': 0.34529828109201216, 'f1-score': 0.4789621318373072, 'support': 1978}, 'accuracy': 0.4295585412667946, 'macro avg': {'precision': 0.5166710291666171, 'recall': 0.5203365408649854, 'f1-score': 0.4243835256302736, 'support': 2605}, 'weighted avg': {'precision': 0.6539977166259638, 'recall': 0.4295585412667946, 'f1-score': 0.4526889755288158, 'support': 2605}};{'-1': {'precision': 0.2539870053160071, 'recall': 0.6902086677367576, 'f1-score': 0.37132987910189985, 'support': 623}, '1': {'precision': 0.7874449339207048, 'recall': 0.3614762386248736, 'f1-score': 0.4954954954954955, 'support': 1978}, 'accuracy': 0.4402153018069973, 'macro avg': {'precision': 0.520715969618356, 'recall': 0.5258424531808156, 'f1-score': 0.43341268729869764, 'support': 2601}, 'weighted avg': {'precision': 0.6596693516366885, 'recall': 0.4402153018069973, 'f1-score': 0.46575494224166614, 'support': 2601}};{'-1': {'precision': 0.25299043062200954, 'recall': 0.6746411483253588, 'f1-score': 0.36798608090474116, 'support': 627}, '1': {'precision': 0.7806451612903226, 'recall': 0.3675949367088608, 'f1-score': 0.4998278829604131, 'support': 1975}, 'accuracy': 0.44158339738662566, 'macro avg': {'precision': 0.5168177959561661, 'recall': 0.5211180425171098, 'f1-score': 0.43390698193257715, 'support': 2602}, 'weighted avg': {'precision': 0.6534969998264363, 'recall': 0.44158339738662566, 'f1-score': 0.46805816355652907, 'support': 2602}}
