Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.4166666666666667, 'recall': 0.007961783439490446, 'f1-score': 0.015625, 'support': 628}, '1': {'precision': 0.7587141750580945, 'recall': 0.996439471007121, 'f1-score': 0.8614775725593666, 'support': 1966}, 'accuracy': 0.7571318427139553, 'macro avg': {'precision': 0.5876904208623805, 'recall': 0.5022006272233057, 'f1-score': 0.4385512862796833, 'support': 2594}, 'weighted avg': {'precision': 0.6759054490481421, 'recall': 0.7571318427139553, 'f1-score': 0.6566990777377467, 'support': 2594}};{'-1': {'precision': 0.42857142857142855, 'recall': 0.009538950715421303, 'f1-score': 0.018662519440124415, 'support': 629}, '1': {'precision': 0.7600154083204931, 'recall': 0.9959616355376073, 'f1-score': 0.8621367708105746, 'support': 1981}, 'accuracy': 0.7582375478927204, 'macro avg': {'precision': 0.5942934184459608, 'recall': 0.5027502931265143, 'f1-score': 0.4403996451253495, 'support': 2610}, 'weighted avg': {'precision': 0.680138679101274, 'recall': 0.7582375478927204, 'f1-score': 0.6588627079324086, 'support': 2610}};{'-1': {'precision': 0.4, 'recall': 0.009569377990430622, 'f1-score': 0.018691588785046728, 'support': 627}, '1': {'precision': 0.7602316602316602, 'recall': 0.9954499494438828, 'f1-score': 0.8620840630472855, 'support': 1978}, 'accuracy': 0.7581573896353166, 'macro avg': {'precision': 0.5801158301158301, 'recall': 0.5025096637171567, 'f1-score': 0.4403878259161661, 'support': 2605}, 'weighted avg': {'precision': 0.6735271493045005, 'recall': 0.7581573896353166, 'f1-score': 0.6590871028313838, 'support': 2605}};{'-1': {'precision': 0.4, 'recall': 0.006420545746388443, 'f1-score': 0.01263823064770932, 'support': 623}, '1': {'precision': 0.7610961018911617, 'recall': 0.9969666329625885, 'f1-score': 0.8632085795578902, 'support': 1978}, 'accuracy': 0.7597078046905037, 'macro avg': {'precision': 0.5805480509455809, 'recall': 0.5016935893544885, 'f1-score': 0.43792340510279976, 'support': 2601}, 'weighted avg': {'precision': 0.6746051862901645, 'recall': 0.7597078046905037, 'f1-score': 0.6594771964855939, 'support': 2601}};{'-1': {'precision': 0.26666666666666666, 'recall': 0.006379585326953748, 'f1-score': 0.012461059190031152, 'support': 627}, '1': {'precision': 0.7591805179744878, 'recall': 0.9944303797468355, 'f1-score': 0.8610258658483122, 'support': 1975}, 'accuracy': 0.7563412759415834, 'macro avg': {'precision': 0.5129235923205773, 'recall': 0.5004049825368946, 'f1-score': 0.4367434625191717, 'support': 2602}, 'weighted avg': {'precision': 0.6405002009990828, 'recall': 0.7563412759415834, 'f1-score': 0.6565484893015242, 'support': 2602}}
OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.28, 'recall': 0.011146496815286623, 'f1-score': 0.021439509954058193, 'support': 628}, '1': {'precision': 0.7582717010509926, 'recall': 0.9908443540183113, 'f1-score': 0.85909592061742, 'support': 1966}, 'accuracy': 0.7536622976098689, 'macro avg': {'precision': 0.5191358505254964, 'recall': 0.500995425416799, 'f1-score': 0.4402677152857391, 'support': 2594}, 'weighted avg': {'precision': 0.6424834866099659, 'recall': 0.7536622976098689, 'f1-score': 0.6563016932093277, 'support': 2594}};{'-1': {'precision': 0.3333333333333333, 'recall': 0.01589825119236884, 'f1-score': 0.030349013657056143, 'support': 629}, '1': {'precision': 0.7600775193798449, 'recall': 0.9899040888440181, 'f1-score': 0.8598991449243587, 'support': 1981}, 'accuracy': 0.7551724137931034, 'macro avg': {'precision': 0.5467054263565891, 'recall': 0.5029011700181935, 'f1-score': 0.4451240792907074, 'support': 2610}, 'weighted avg': {'precision': 0.6572338055778313, 'recall': 0.7551724137931034, 'f1-score': 0.6599807416419321, 'support': 2610}};{'-1': {'precision': 0.3103448275862069, 'recall': 0.014354066985645933, 'f1-score': 0.0274390243902439, 'support': 627}, '1': {'precision': 0.7600931677018633, 'recall': 0.9898887765419616, 'f1-score': 0.8599033816425121, 'support': 1978}, 'accuracy': 0.7550863723608445, 'macro avg': {'precision': 0.5352189976440351, 'recall': 0.5021214217638038, 'f1-score': 0.443671203016378, 'support': 2605}, 'weighted avg': {'precision': 0.6518427994667322, 'recall': 0.7550863723608445, 'f1-score': 0.6595367206071293, 'support': 2605}};{'-1': {'precision': 0.5, 'recall': 0.016051364365971106, 'f1-score': 0.031104199066874026, 'support': 623}, '1': {'precision': 0.7624951569159241, 'recall': 0.9949443882709808, 'f1-score': 0.8633472252686993, 'support': 1978}, 'accuracy': 0.760476739715494, 'macro avg': {'precision': 0.6312475784579621, 'recall': 0.505497876318476, 'f1-score': 0.44722571216778667, 'support': 2601}, 'weighted avg': {'precision': 0.699621461122529, 'recall': 0.760476739715494, 'f1-score': 0.6640056622837945, 'support': 2601}};{'-1': {'precision': 0.2692307692307692, 'recall': 0.011164274322169059, 'f1-score': 0.021439509954058193, 'support': 627}, '1': {'precision': 0.7593167701863354, 'recall': 0.990379746835443, 'f1-score': 0.8595912986156888, 'support': 1975}, 'accuracy': 0.7544196771714066, 'macro avg': {'precision': 0.5142737697085523, 'recall': 0.500772010578806, 'f1-score': 0.4405154042848735, 'support': 2602}, 'weighted avg': {'precision': 0.6412214886340142, 'recall': 0.7544196771714066, 'f1-score': 0.6576231312479555, 'support': 2602}}
OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.2833333333333333, 'recall': 0.027070063694267517, 'f1-score': 0.049418604651162795, 'support': 628}, '1': {'precision': 0.7588792423046566, 'recall': 0.9781281790437436, 'f1-score': 0.8546666666666666, 'support': 1966}, 'accuracy': 0.7478797224363917, 'macro avg': {'precision': 0.5211062878189949, 'recall': 0.5025991213690055, 'f1-score': 0.45204263565891467, 'support': 2594}, 'weighted avg': {'precision': 0.6437509343501497, 'recall': 0.7478797224363917, 'f1-score': 0.6597184080137227, 'support': 2594}};{'-1': {'precision': 0.3191489361702128, 'recall': 0.02384737678855326, 'f1-score': 0.044378698224852076, 'support': 629}, '1': {'precision': 0.7604369879047991, 'recall': 0.9838465421504291, 'f1-score': 0.8578345070422535, 'support': 1981}, 'accuracy': 0.7524904214559387, 'macro avg': {'precision': 0.5397929620375059, 'recall': 0.5038469594694912, 'f1-score': 0.4511066026335528, 'support': 2610}, 'weighted avg': {'precision': 0.6540882581955827, 'recall': 0.7524904214559387, 'f1-score': 0.6617947738061825, 'support': 2610}};{'-1': {'precision': 0.28888888888888886, 'recall': 0.02073365231259968, 'f1-score': 0.03869047619047619, 'support': 627}, '1': {'precision': 0.76015625, 'recall': 0.9838220424671386, 'f1-score': 0.8576465403261349, 'support': 1978}, 'accuracy': 0.7520153550863724, 'macro avg': {'precision': 0.5245225694444444, 'recall': 0.5022778473898691, 'f1-score': 0.4481685082583055, 'support': 2605}, 'weighted avg': {'precision': 0.6467264475367882, 'recall': 0.7520153550863724, 'f1-score': 0.6605312035840781, 'support': 2605}};{'-1': {'precision': 0.34146341463414637, 'recall': 0.02247191011235955, 'f1-score': 0.042168674698795185, 'support': 623}, '1': {'precision': 0.762109375, 'recall': 0.9863498483316482, 'f1-score': 0.8598501542529748, 'support': 1978}, 'accuracy': 0.7554786620530565, 'macro avg': {'precision': 0.5517863948170731, 'recall': 0.5044108792220039, 'f1-score': 0.451009414475885, 'support': 2601}, 'weighted avg': {'precision': 0.6613548831476637, 'recall': 0.7554786620530565, 'f1-score': 0.6639964203958991, 'support': 2601}};{'-1': {'precision': 0.23404255319148937, 'recall': 0.017543859649122806, 'f1-score': 0.03264094955489614, 'support': 627}, '1': {'precision': 0.7589041095890411, 'recall': 0.9817721518987341, 'f1-score': 0.8560706401766005, 'support': 1975}, 'accuracy': 0.749423520368947, 'macro avg': {'precision': 0.4964733313902652, 'recall': 0.4996580057739285, 'f1-score': 0.44435579486574833, 'support': 2602}, 'weighted avg': {'precision': 0.6324290150997002, 'recall': 0.749423520368947, 'f1-score': 0.6576500344810553, 'support': 2602}}
OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.27956989247311825, 'recall': 0.08280254777070063, 'f1-score': 0.12776412776412777, 'support': 628}, '1': {'precision': 0.760797342192691, 'recall': 0.9318413021363174, 'f1-score': 0.8376771833561958, 'support': 1966}, 'accuracy': 0.7262914417887433, 'macro avg': {'precision': 0.5201836173329046, 'recall': 0.507321924953509, 'f1-score': 0.48272065556016175, 'support': 2594}, 'weighted avg': {'precision': 0.6442935494309748, 'recall': 0.7262914417887433, 'f1-score': 0.6658092577926573, 'support': 2594}};{'-1': {'precision': 0.26519337016574585, 'recall': 0.07631160572337042, 'f1-score': 0.11851851851851851, 'support': 629}, '1': {'precision': 0.760806916426513, 'recall': 0.9328621908127208, 'f1-score': 0.8380952380952381, 'support': 1981}, 'accuracy': 0.7264367816091954, 'macro avg': {'precision': 0.5130001432961294, 'recall': 0.5045868982680456, 'f1-score': 0.4783068783068783, 'support': 2610}, 'weighted avg': {'precision': 0.6413659506801442, 'recall': 0.7264367816091954, 'f1-score': 0.6646800056761742, 'support': 2610}};{'-1': {'precision': 0.31736526946107785, 'recall': 0.08452950558213716, 'f1-score': 0.13350125944584385, 'support': 627}, '1': {'precision': 0.7645611156685808, 'recall': 0.942366026289181, 'f1-score': 0.8442028985507246, 'support': 1978}, 'accuracy': 0.7358925143953935, 'macro avg': {'precision': 0.5409631925648293, 'recall': 0.5134477659356591, 'f1-score': 0.4888520789982842, 'support': 2605}, 'weighted avg': {'precision': 0.6569251096908055, 'recall': 0.7358925143953935, 'f1-score': 0.6731434253381486, 'support': 2605}};{'-1': {'precision': 0.31125827814569534, 'recall': 0.0754414125200642, 'f1-score': 0.12144702842377261, 'support': 623}, '1': {'precision': 0.7648979591836734, 'recall': 0.9474216380182002, 'f1-score': 0.8464317976513099, 'support': 1978}, 'accuracy': 0.738562091503268, 'macro avg': {'precision': 0.5380781186646844, 'recall': 0.5114315252691322, 'f1-score': 0.4839394130375413, 'support': 2601}, 'weighted avg': {'precision': 0.6562407037870335, 'recall': 0.738562091503268, 'f1-score': 0.6727810820693201, 'support': 2601}};{'-1': {'precision': 0.2603550295857988, 'recall': 0.07017543859649122, 'f1-score': 0.11055276381909546, 'support': 627}, '1': {'precision': 0.7603781339909577, 'recall': 0.9367088607594937, 'f1-score': 0.8393829401088928, 'support': 1975}, 'accuracy': 0.727901614142967, 'macro avg': {'precision': 0.5103665817883782, 'recall': 0.5034421496779924, 'f1-score': 0.47496785196399416, 'support': 2602}, 'weighted avg': {'precision': 0.6398883236673472, 'recall': 0.727901614142967, 'f1-score': 0.6637578361374465, 'support': 2602}}
OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.26557377049180325, 'recall': 0.12898089171974522, 'f1-score': 0.17363344051446947, 'support': 628}, '1': {'precision': 0.7610310179117519, 'recall': 0.8860630722278738, 'f1-score': 0.8188014101057579, 'support': 1966}, 'accuracy': 0.7027756360832691, 'macro avg': {'precision': 0.5133023942017776, 'recall': 0.5075219819738095, 'f1-score': 0.4962174253101137, 'support': 2594}, 'weighted avg': {'precision': 0.6410822317206464, 'recall': 0.7027756360832691, 'f1-score': 0.6626080851623003, 'support': 2594}};{'-1': {'precision': 0.25073746312684364, 'recall': 0.13513513513513514, 'f1-score': 0.1756198347107438, 'support': 629}, '1': {'precision': 0.7604579480405108, 'recall': 0.8717819283190308, 'f1-score': 0.8123236124176858, 'support': 1981}, 'accuracy': 0.6942528735632184, 'macro avg': {'precision': 0.5055977055836772, 'recall': 0.503458531727083, 'f1-score': 0.4939717235642148, 'support': 2610}, 'weighted avg': {'precision': 0.6376172641283665, 'recall': 0.6942528735632184, 'f1-score': 0.6588804414683883, 'support': 2610}};{'-1': {'precision': 0.2905405405405405, 'recall': 0.1371610845295056, 'f1-score': 0.18634886240520043, 'support': 627}, '1': {'precision': 0.7656994369857081, 'recall': 0.8938321536905965, 'f1-score': 0.8248192209003965, 'support': 1978}, 'accuracy': 0.7117082533589252, 'macro avg': {'precision': 0.5281199887631243, 'recall': 0.5154966191100511, 'f1-score': 0.5055840416527985, 'support': 2605}, 'weighted avg': {'precision': 0.65133297707357, 'recall': 0.7117082533589252, 'f1-score': 0.6711451653240095, 'support': 2605}};{'-1': {'precision': 0.2671232876712329, 'recall': 0.12520064205457465, 'f1-score': 0.17049180327868854, 'support': 623}, '1': {'precision': 0.7639670853183196, 'recall': 0.8918099089989889, 'f1-score': 0.8229531140657803, 'support': 1978}, 'accuracy': 0.7081891580161477, 'macro avg': {'precision': 0.5155451864947762, 'recall': 0.5085052755267818, 'f1-score': 0.4967224586722344, 'support': 2601}, 'weighted avg': {'precision': 0.644961439053754, 'recall': 0.7081891580161477, 'f1-score': 0.6666734536965538, 'support': 2601}};{'-1': {'precision': 0.23722627737226276, 'recall': 0.10366826156299841, 'f1-score': 0.14428412874583796, 'support': 627}, '1': {'precision': 0.7585910652920962, 'recall': 0.8941772151898734, 'f1-score': 0.8208226818498721, 'support': 1975}, 'accuracy': 0.7036894696387395, 'macro avg': {'precision': 0.4979086713321795, 'recall': 0.49892273837643586, 'f1-score': 0.482553405297855, 'support': 2602}, 'weighted avg': {'precision': 0.6329585818079548, 'recall': 0.7036894696387395, 'f1-score': 0.6577982111364864, 'support': 2602}}
OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.24786324786324787, 'recall': 0.23089171974522293, 'f1-score': 0.23907666941467437, 'support': 628}, '1': {'precision': 0.759581881533101, 'recall': 0.7761953204476093, 'f1-score': 0.7677987421383647, 'support': 1966}, 'accuracy': 0.6441788743253662, 'macro avg': {'precision': 0.5037225646981744, 'recall': 0.5035435200964161, 'f1-score': 0.5034377057765196, 'support': 2594}, 'weighted avg': {'precision': 0.6356962601203532, 'recall': 0.6441788743253662, 'f1-score': 0.6397966366370241, 'support': 2594}};{'-1': {'precision': 0.23972602739726026, 'recall': 0.22257551669316375, 'f1-score': 0.2308326463314097, 'support': 629}, '1': {'precision': 0.7586377097729516, 'recall': 0.7758707723372035, 'f1-score': 0.7671574744197655, 'support': 1981}, 'accuracy': 0.6425287356321839, 'macro avg': {'precision': 0.49918186858510594, 'recall': 0.4992231445151836, 'f1-score': 0.4989950603755876, 'support': 2610}, 'weighted avg': {'precision': 0.6335819824877754, 'recall': 0.6425287356321839, 'f1-score': 0.6379052457348705, 'support': 2610}};{'-1': {'precision': 0.2682060390763766, 'recall': 0.24082934609250398, 'f1-score': 0.253781512605042, 'support': 627}, '1': {'precision': 0.7668952007835456, 'recall': 0.7917087967644085, 'f1-score': 0.7791044776119402, 'support': 1978}, 'accuracy': 0.6591170825335892, 'macro avg': {'precision': 0.5175506199299611, 'recall': 0.5162690714284562, 'f1-score': 0.5164429951084911, 'support': 2605}, 'weighted avg': {'precision': 0.6468652182920311, 'recall': 0.6591170825335892, 'f1-score': 0.6526639789327368, 'support': 2605}};{'-1': {'precision': 0.26024955436720143, 'recall': 0.23434991974317818, 'f1-score': 0.24662162162162163, 'support': 623}, '1': {'precision': 0.7661764705882353, 'recall': 0.7901921132457027, 'f1-score': 0.7779990044798407, 'support': 1978}, 'accuracy': 0.6570549788542868, 'macro avg': {'precision': 0.5132130124777183, 'recall': 0.5122710164944404, 'f1-score': 0.5123103130507312, 'support': 2601}, 'weighted avg': {'precision': 0.6449952061492872, 'recall': 0.6570549788542868, 'f1-score': 0.650721761296192, 'support': 2601}};{'-1': {'precision': 0.25285171102661597, 'recall': 0.21212121212121213, 'f1-score': 0.23070251517779705, 'support': 627}, '1': {'precision': 0.7620423892100193, 'recall': 0.8010126582278481, 'f1-score': 0.7810417180942978, 'support': 1975}, 'accuracy': 0.6591083781706379, 'macro avg': {'precision': 0.5074470501183177, 'recall': 0.5065669351745301, 'f1-score': 0.5058721166360474, 'support': 2602}, 'weighted avg': {'precision': 0.6393434825147872, 'recall': 0.6591083781706379, 'f1-score': 0.6484273137020434, 'support': 2602}}
OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.2532088681446908, 'recall': 0.34554140127388533, 'f1-score': 0.29225589225589227, 'support': 628}, '1': {'precision': 0.7633851468048359, 'recall': 0.6744659206510681, 'f1-score': 0.7161760734539563, 'support': 1966}, 'accuracy': 0.594834232845027, 'macro avg': {'precision': 0.5082970074747634, 'recall': 0.5100036609624767, 'f1-score': 0.5042159828549243, 'support': 2594}, 'weighted avg': {'precision': 0.6398729251400052, 'recall': 0.594834232845027, 'f1-score': 0.6135462069187272, 'support': 2594}};{'-1': {'precision': 0.25443786982248523, 'recall': 0.34181240063593005, 'f1-score': 0.29172320217096337, 'support': 629}, '1': {'precision': 0.7654390934844193, 'recall': 0.6819787985865724, 'f1-score': 0.7213027229044314, 'support': 1981}, 'accuracy': 0.6, 'macro avg': {'precision': 0.5099384816534522, 'recall': 0.5118955996112512, 'f1-score': 0.5065129625376974, 'support': 2610}, 'weighted avg': {'precision': 0.6422897564409876, 'recall': 0.6, 'f1-score': 0.6177757043062124, 'support': 2610}};{'-1': {'precision': 0.26375, 'recall': 0.3365231259968102, 'f1-score': 0.29572529782761037, 'support': 627}, '1': {'precision': 0.7695290858725762, 'recall': 0.7022244691607684, 'f1-score': 0.7343378271213321, 'support': 1978}, 'accuracy': 0.6142034548944337, 'macro avg': {'precision': 0.5166395429362881, 'recall': 0.5193737975787893, 'f1-score': 0.5150315624744712, 'support': 2605}, 'weighted avg': {'precision': 0.647792622593457, 'recall': 0.6142034548944337, 'f1-score': 0.6287677480936301, 'support': 2605}};{'-1': {'precision': 0.2540880503144654, 'recall': 0.32423756019261635, 'f1-score': 0.2849083215796897, 'support': 623}, '1': {'precision': 0.7668881506090809, 'recall': 0.7002022244691608, 'f1-score': 0.7320295983086682, 'support': 1978}, 'accuracy': 0.6101499423298731, 'macro avg': {'precision': 0.5104881004617732, 'recall': 0.5122198923308886, 'f1-score': 0.508468959944179, 'support': 2601}, 'weighted avg': {'precision': 0.6440605987122929, 'recall': 0.6101499423298731, 'f1-score': 0.6249336523639725, 'support': 2601}};{'-1': {'precision': 0.25925925925925924, 'recall': 0.31259968102073366, 'f1-score': 0.2834417932031814, 'support': 627}, '1': {'precision': 0.766522210184182, 'recall': 0.7164556962025317, 'f1-score': 0.7406438105208061, 'support': 1975}, 'accuracy': 0.6191391237509608, 'macro avg': {'precision': 0.5128907347217206, 'recall': 0.5145276886116327, 'f1-score': 0.5120428018619938, 'support': 2602}, 'weighted avg': {'precision': 0.6442878250074231, 'recall': 0.6191391237509608, 'f1-score': 0.6304725327121394, 'support': 2602}}
OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.2572944297082228, 'recall': 0.46337579617834396, 'f1-score': 0.3308698123934054, 'support': 628}, '1': {'precision': 0.7696514012303486, 'recall': 0.572736520854527, 'f1-score': 0.6567512394284047, 'support': 1966}, 'accuracy': 0.5462606013878181, 'macro avg': {'precision': 0.5134729154692856, 'recall': 0.5180561585164355, 'f1-score': 0.4938105259109051, 'support': 2594}, 'weighted avg': {'precision': 0.6456112400445756, 'recall': 0.5462606013878181, 'f1-score': 0.5778562755972638, 'support': 2594}};{'-1': {'precision': 0.25835591689250226, 'recall': 0.4546899841017488, 'f1-score': 0.32949308755760365, 'support': 629}, '1': {'precision': 0.7717897538256819, 'recall': 0.585562847046946, 'f1-score': 0.6659012629161883, 'support': 1981}, 'accuracy': 0.5540229885057472, 'macro avg': {'precision': 0.5150728353590921, 'recall': 0.5201264155743474, 'f1-score': 0.497697175236896, 'support': 2610}, 'weighted avg': {'precision': 0.6480541663042375, 'recall': 0.5540229885057472, 'f1-score': 0.5848281815749816, 'support': 2610}};{'-1': {'precision': 0.2484361036639857, 'recall': 0.4433811802232855, 'f1-score': 0.3184421534936999, 'support': 627}, '1': {'precision': 0.7651413189771198, 'recall': 0.5748230535894844, 'f1-score': 0.6564665127020786, 'support': 1978}, 'accuracy': 0.5431861804222649, 'macro avg': {'precision': 0.5067887113205527, 'recall': 0.509102116906385, 'f1-score': 0.4874543330978892, 'support': 2605}, 'weighted avg': {'precision': 0.6407750349075094, 'recall': 0.5431861804222649, 'f1-score': 0.5751070987966455, 'support': 2605}};{'-1': {'precision': 0.25121241513094084, 'recall': 0.4157303370786517, 'f1-score': 0.313180169286578, 'support': 623}, '1': {'precision': 0.7681528662420383, 'recall': 0.6097067745197169, 'f1-score': 0.6798196166854567, 'support': 1978}, 'accuracy': 0.5632449058054594, 'macro avg': {'precision': 0.5096826406864896, 'recall': 0.5127185557991842, 'f1-score': 0.4964998929860173, 'support': 2601}, 'weighted avg': {'precision': 0.644333604018965, 'recall': 0.5632449058054594, 'f1-score': 0.5920009408955677, 'support': 2601}};{'-1': {'precision': 0.25466417910447764, 'recall': 0.4354066985645933, 'f1-score': 0.32136550912301354, 'support': 627}, '1': {'precision': 0.7686274509803922, 'recall': 0.5954430379746836, 'f1-score': 0.6710413694721826, 'support': 1975}, 'accuracy': 0.5568793235972329, 'macro avg': {'precision': 0.5116458150424349, 'recall': 0.5154248682696384, 'f1-score': 0.4962034392975981, 'support': 2602}, 'weighted avg': {'precision': 0.6447784996098318, 'recall': 0.5568793235972329, 'f1-score': 0.5867805068899654, 'support': 2602}}
OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.25553176302640973, 'recall': 0.5700636942675159, 'f1-score': 0.35288319369147364, 'support': 628}, '1': {'precision': 0.7736797988264879, 'recall': 0.4694811800610376, 'f1-score': 0.5843621399176955, 'support': 1966}, 'accuracy': 0.4938319198149576, 'macro avg': {'precision': 0.5146057809264488, 'recall': 0.5197724371642768, 'f1-score': 0.46862266680458453, 'support': 2594}, 'weighted avg': {'precision': 0.6482376374994065, 'recall': 0.4938319198149576, 'f1-score': 0.5283217473849016, 'support': 2594}};{'-1': {'precision': 0.2615499254843517, 'recall': 0.5580286168521462, 'f1-score': 0.3561643835616438, 'support': 629}, '1': {'precision': 0.7807570977917981, 'recall': 0.49974760222110043, 'f1-score': 0.6094182825484764, 'support': 1981}, 'accuracy': 0.5137931034482759, 'macro avg': {'precision': 0.5211535116380749, 'recall': 0.5288881095366234, 'f1-score': 0.4827913330550601, 'support': 2610}, 'weighted avg': {'precision': 0.6556301585652143, 'recall': 0.5137931034482759, 'f1-score': 0.5483850632141019, 'support': 2610}};{'-1': {'precision': 0.24581818181818182, 'recall': 0.5390749601275917, 'f1-score': 0.3376623376623377, 'support': 627}, '1': {'precision': 0.765040650406504, 'recall': 0.4757330637007078, 'f1-score': 0.5866583541147131, 'support': 1978}, 'accuracy': 0.490978886756238, 'macro avg': {'precision': 0.5054294161123429, 'recall': 0.5074040119141497, 'f1-score': 0.4621603458885254, 'support': 2605}, 'weighted avg': {'precision': 0.6400684861819828, 'recall': 0.490978886756238, 'f1-score': 0.526727259175888, 'support': 2605}};{'-1': {'precision': 0.25681818181818183, 'recall': 0.5441412520064205, 'f1-score': 0.3489449305198147, 'support': 623}, '1': {'precision': 0.7782982045277127, 'recall': 0.5040444893832153, 'f1-score': 0.6118441239644061, 'support': 1978}, 'accuracy': 0.5136485966935794, 'macro avg': {'precision': 0.5175581931729473, 'recall': 0.5240928706948179, 'f1-score': 0.4803945272421104, 'support': 2601}, 'weighted avg': {'precision': 0.6533916093150877, 'recall': 0.5136485966935793, 'f1-score': 0.5488736520243906, 'support': 2601}};{'-1': {'precision': 0.25094768764215314, 'recall': 0.5279106858054227, 'f1-score': 0.3401849948612538, 'support': 627}, '1': {'precision': 0.769290724863601, 'recall': 0.499746835443038, 'f1-score': 0.6058931860036834, 'support': 1975}, 'accuracy': 0.5065334358186011, 'macro avg': {'precision': 0.510119206252877, 'recall': 0.5138287606242303, 'f1-score': 0.4730390904324686, 'support': 2602}, 'weighted avg': {'precision': 0.6443863880696549, 'recall': 0.5065334358186011, 'f1-score': 0.5418658855247043, 'support': 2602}}
OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.25167580743449114, 'recall': 0.6576433121019108, 'f1-score': 0.36403702071397087, 'support': 628}, '1': {'precision': 0.7743966421825813, 'recall': 0.37538148524923703, 'f1-score': 0.5056526207605344, 'support': 1966}, 'accuracy': 0.443716268311488, 'macro avg': {'precision': 0.5130362248085363, 'recall': 0.516512398675574, 'f1-score': 0.4348448207372526, 'support': 2594}, 'weighted avg': {'precision': 0.6478474192751794, 'recall': 0.443716268311488, 'f1-score': 0.4713678879813355, 'support': 2594}};{'-1': {'precision': 0.25626566416040103, 'recall': 0.6502384737678856, 'f1-score': 0.3676404494382023, 'support': 629}, '1': {'precision': 0.7830374753451677, 'recall': 0.40080767289247854, 'f1-score': 0.5302170283806343, 'support': 1981}, 'accuracy': 0.46091954022988507, 'macro avg': {'precision': 0.5196515697527844, 'recall': 0.5255230733301821, 'f1-score': 0.4489287389094183, 'support': 2610}, 'weighted avg': {'precision': 0.6560874871324404, 'recall': 0.46091954022988507, 'f1-score': 0.49103669575427816, 'support': 2610}};{'-1': {'precision': 0.24564676616915423, 'recall': 0.6299840510366826, 'f1-score': 0.3534675615212528, 'support': 627}, '1': {'precision': 0.7673019057171514, 'recall': 0.3867542972699697, 'f1-score': 0.5142857142857142, 'support': 1978}, 'accuracy': 0.44529750479846447, 'macro avg': {'precision': 0.5064743359431528, 'recall': 0.5083691741533262, 'f1-score': 0.4338766379034835, 'support': 2605}, 'weighted avg': {'precision': 0.6417442195380365, 'recall': 0.44529750479846447, 'f1-score': 0.4755782356740761, 'support': 2605}};{'-1': {'precision': 0.255089058524173, 'recall': 0.6436597110754414, 'f1-score': 0.365375854214123, 'support': 623}, '1': {'precision': 0.7842565597667639, 'recall': 0.4079878665318504, 'f1-score': 0.5367475889590955, 'support': 1978}, 'accuracy': 0.4644367550941945, 'macro avg': {'precision': 0.5196728091454684, 'recall': 0.5258237888036459, 'f1-score': 0.45106172158660923, 'support': 2601}, 'weighted avg': {'precision': 0.6575086346325332, 'recall': 0.4644367550941945, 'f1-score': 0.4957000723323681, 'support': 2601}};{'-1': {'precision': 0.2448469706433479, 'recall': 0.6251993620414673, 'f1-score': 0.3518850987432675, 'support': 627}, '1': {'precision': 0.7652347652347652, 'recall': 0.3878481012658228, 'f1-score': 0.514784946236559, 'support': 1975}, 'accuracy': 0.44504227517294387, 'macro avg': {'precision': 0.5050408679390566, 'recall': 0.5065237316536451, 'f1-score': 0.4333350224899133, 'support': 2602}, 'weighted avg': {'precision': 0.6398377063535896, 'recall': 0.44504227517294387, 'f1-score': 0.47553121665228004, 'support': 2602}}
